user_id,created_at,country,acquisition_channel,customer_segment,device_preference
USR-00020621,2025-01-01 07:56:21,US,Organic Search,Bargain,Mobile
USR-00021105,2025-01-01 07:58:51,CA,Social,Regular,Desktop
USR-00010359,2025-01-01 08:05:14,US,Paid Search,Regular,Tablet
USR-00001732,2025-01-01 08:12:22,AU,Paid Search,Regular,Mobile
USR-00015344,2025-01-01 08:23:43,US,Organic Search,Bargain,Desktop
USR-00000779,2025-01-01 09:28:45,US,Paid Search,Bargain,Mobile
USR-00001549,2025-01-01 09:35:21,US,Paid Search,VIP,Tablet
USR-00019369,2025-01-01 09:47:31,FR,Organic Search,VIP,Desktop
USR-00013292,2025-01-01 09:55:00,US,Organic Search,VIP,Desktop
USR-00028082,2025-01-01 10:07:39,US,Email,Bargain,Mobile
USR-00027352,2025-01-01 10:07:40,UK,Direct,Bargain,Mobile
USR-00017945,2025-01-01 10:21:03,AU,Organic Search,Bargain,Tablet
USR-00014749,2025-01-01 10:21:04,AU,Social,VIP,Tablet
USR-00006646,2025-01-01 10:22:45,US,Organic Search,Regular,Desktop
USR-00025628,2025-01-01 10:25:21,CA,Organic Search,Regular,Desktop
USR-00025096,2025-01-01 11:24:38,US,Organic Search,Regular,Mobile
USR-00000700,2025-01-01 11:48:01,US,Email,VIP,Desktop
USR-00003979,2025-01-01 11:53:24,US,Email,Bargain,Mobile
USR-00022818,2025-01-01 12:04:39,DE,Social,Regular,Desktop
USR-00027098,2025-01-01 12:20:16,FR,Organic Search,VIP,Mobile
USR-00008387,2025-01-01 12:32:14,US,Social,Regular,Mobile
USR-00000773,2025-01-01 12:46:01,CA,Organic Search,Regular,Desktop
USR-00001239,2025-01-01 12:46:25,US,Direct,VIP,Mobile
USR-00018697,2025-01-01 13:15:30,UK,Paid Search,Regular,Desktop
USR-00016441,2025-01-01 14:24:47,CA,Paid Search,Regular,Mobile
USR-00010166,2025-01-01 14:31:32,US,Paid Search,Bargain,Mobile
USR-00007036,2025-01-01 14:50:05,CA,Email,Bargain,Desktop
USR-00024574,2025-01-01 15:24:29,US,Organic Search,Regular,Mobile
USR-00021173,2025-01-01 15:27:28,US,Paid Search,Regular,Mobile
USR-00019590,2025-01-01 16:26:12,AU,Organic Search,Bargain,Mobile
USR-00008119,2025-01-01 17:11:00,FR,Organic Search,Bargain,Desktop
USR-00024314,2025-01-01 17:13:54,UK,Email,Regular,Desktop
USR-00015304,2025-01-01 17:21:47,UK,Social,Regular,Desktop
USR-00020152,2025-01-01 17:21:48,US,Social,Regular,Mobile
USR-00028263,2025-01-01 17:24:34,US,Organic Search,Regular,Desktop
USR-00025395,2025-01-01 17:36:04,CA,Organic Search,Regular,Mobile
USR-00001286,2025-01-01 17:44:56,US,Direct,Bargain,Desktop
USR-00006025,2025-01-01 18:21:03,US,Paid Search,VIP,Desktop
USR-00015871,2025-01-01 18:30:46,US,Email,Regular,Mobile
USR-00012082,2025-01-01 18:32:16,US,Social,Bargain,Mobile
USR-00011491,2025-01-01 18:33:05,UK,Social,Bargain,Desktop
USR-00017188,2025-01-01 18:45:08,UK,Organic Search,Regular,Mobile
USR-00027773,2025-01-01 18:55:23,US,Social,Regular,Mobile
USR-00006267,2025-01-01 19:02:58,FR,Paid Search,Regular,Desktop
USR-00014546,2025-01-01 19:49:24,US,Organic Search,Regular,Mobile
USR-00024099,2025-01-01 20:05:54,US,Paid Search,VIP,Desktop
USR-00024851,2025-01-01 20:12:46,DE,Social,Regular,Desktop
USR-00004748,2025-01-01 20:48:45,US,Paid Search,Regular,Tablet
USR-00019693,2025-01-01 21:16:59,CA,Email,Bargain,Desktop
USR-00026063,2025-01-01 21:46:25,FR,Organic Search,Regular,Mobile
USR-00013233,2025-01-01 21:55:14,US,Direct,Regular,Mobile
USR-00012521,2025-01-01 22:04:25,UK,Organic Search,VIP,Desktop
USR-00010771,2025-01-01 22:34:05,US,Organic Search,Bargain,Mobile
USR-00020703,2025-01-01 22:49:50,US,Email,Regular,Mobile
USR-00014965,2025-01-01 23:02:11,DE,Paid Search,Regular,Desktop
USR-00003915,2025-01-01 23:13:19,CA,Referral,Bargain,Desktop
USR-00019919,2025-01-01 23:16:13,CA,Organic Search,Regular,Mobile
USR-00028993,2025-01-01 23:22:14,FR,Paid Search,Regular,Mobile
USR-00007912,2025-01-01 23:31:58,CA,Referral,VIP,Mobile
USR-00001203,2025-01-01 23:39:41,FR,Social,Regular,Mobile
USR-00002480,2025-01-02 00:12:23,UK,Organic Search,VIP,Mobile
USR-00003399,2025-01-02 00:12:53,US,Direct,Regular,Mobile
USR-00013283,2025-01-02 00:15:14,CA,Referral,Regular,Mobile
USR-00016769,2025-01-02 00:29:52,US,Organic Search,Bargain,Mobile
USR-00009645,2025-01-02 00:39:34,CA,Organic Search,Bargain,Mobile
USR-00001030,2025-01-02 00:57:08,US,Organic Search,Bargain,Mobile
USR-00019751,2025-01-02 01:48:24,CA,Email,Regular,Desktop
USR-00023012,2025-01-02 01:50:53,US,Social,Bargain,Mobile
USR-00019078,2025-01-02 02:11:45,US,Email,Regular,Mobile
USR-00014206,2025-01-02 02:46:04,AU,Organic Search,Bargain,Mobile
USR-00012449,2025-01-02 02:52:05,UK,Organic Search,Bargain,Tablet
USR-00016064,2025-01-02 03:09:39,UK,Direct,Regular,Mobile
USR-00028157,2025-01-02 03:10:26,CA,Paid Search,Bargain,Mobile
USR-00023483,2025-01-02 03:17:28,CA,Social,Regular,Mobile
USR-00020707,2025-01-02 03:25:00,US,Referral,Regular,Mobile
USR-00005699,2025-01-02 03:48:01,FR,Organic Search,Regular,Tablet
USR-00006350,2025-01-02 03:55:47,US,Direct,Regular,Desktop
USR-00022280,2025-01-02 04:00:49,UK,Email,Regular,Mobile
USR-00016260,2025-01-02 04:24:08,US,Paid Search,Regular,Desktop
USR-00020661,2025-01-02 04:33:13,US,Direct,Bargain,Mobile
USR-00025826,2025-01-02 04:35:37,CA,Direct,Regular,Mobile
USR-00009591,2025-01-02 04:38:25,UK,Direct,Regular,Desktop
USR-00022484,2025-01-02 04:46:14,FR,Paid Search,Regular,Mobile
USR-00014767,2025-01-02 04:47:43,US,Organic Search,Regular,Mobile
USR-00014806,2025-01-02 05:42:15,US,Paid Search,VIP,Desktop
USR-00004457,2025-01-02 05:56:13,US,Direct,Regular,Desktop
USR-00029922,2025-01-02 06:05:47,US,Referral,Regular,Mobile
USR-00020129,2025-01-02 06:18:26,CA,Direct,Bargain,Desktop
USR-00016702,2025-01-02 06:18:58,US,Email,Bargain,Mobile
USR-00011594,2025-01-02 06:20:06,US,Direct,Bargain,Desktop
USR-00026642,2025-01-02 06:37:26,CA,Organic Search,Regular,Mobile
USR-00029138,2025-01-02 06:38:58,US,Organic Search,Regular,Desktop
USR-00006495,2025-01-02 06:46:30,DE,Email,Bargain,Desktop
USR-00000913,2025-01-02 06:48:33,CA,Direct,Regular,Mobile
USR-00017361,2025-01-02 07:23:07,US,Paid Search,Bargain,Desktop
USR-00021677,2025-01-02 07:55:50,US,Organic Search,Regular,Tablet
USR-00024056,2025-01-02 08:04:39,US,Social,Regular,Mobile
USR-00006488,2025-01-02 08:18:17,AU,Direct,Regular,Mobile
USR-00023779,2025-01-02 08:23:09,UK,Organic Search,Regular,Mobile
USR-00017952,2025-01-02 08:29:15,US,Social,Regular,Mobile
USR-00029108,2025-01-02 08:48:58,US,Social,Bargain,Tablet
USR-00009635,2025-01-02 08:55:29,US,Direct,Regular,Mobile
USR-00027757,2025-01-02 09:03:30,US,Paid Search,Regular,Mobile
USR-00002523,2025-01-02 09:06:05,US,Social,Bargain,Mobile
USR-00012245,2025-01-02 09:14:54,CA,Organic Search,VIP,Desktop
USR-00005643,2025-01-02 09:32:46,FR,Organic Search,Bargain,Desktop
USR-00000192,2025-01-02 09:39:56,FR,Direct,Bargain,Mobile
USR-00008827,2025-01-02 09:49:58,US,Paid Search,Regular,Mobile
USR-00010430,2025-01-02 10:02:15,UK,Organic Search,VIP,Mobile
USR-00024285,2025-01-02 10:11:02,CA,Email,Regular,Desktop
USR-00009735,2025-01-02 10:12:09,DE,Organic Search,Regular,Desktop
USR-00019169,2025-01-02 10:12:23,US,Organic Search,Regular,Mobile
USR-00005805,2025-01-02 10:12:31,US,Paid Search,Bargain,Desktop
USR-00023431,2025-01-02 10:14:00,CA,Paid Search,Bargain,Mobile
USR-00000585,2025-01-02 10:35:43,CA,Paid Search,Regular,Desktop
USR-00025333,2025-01-02 10:38:29,UK,Organic Search,Bargain,Desktop
USR-00005342,2025-01-02 11:07:01,CA,Paid Search,Regular,Tablet
USR-00001917,2025-01-02 11:30:28,US,Social,Bargain,Mobile
USR-00025396,2025-01-02 11:43:03,US,Direct,Regular,Mobile
USR-00005514,2025-01-02 11:54:26,US,Social,Regular,Mobile
USR-00000528,2025-01-02 12:13:43,US,Organic Search,VIP,Mobile
USR-00002078,2025-01-02 12:24:22,US,Direct,VIP,Mobile
USR-00000841,2025-01-02 12:27:01,US,Organic Search,Bargain,Desktop
USR-00015132,2025-01-02 12:31:42,US,Paid Search,Bargain,Mobile
USR-00003886,2025-01-02 13:20:29,UK,Social,Regular,Mobile
USR-00000065,2025-01-02 13:35:49,US,Direct,Regular,Desktop
USR-00018736,2025-01-02 14:04:34,US,Organic Search,Regular,Desktop
USR-00021899,2025-01-02 14:08:13,US,Organic Search,Regular,Mobile
USR-00022893,2025-01-02 14:14:36,CA,Referral,Regular,Mobile
USR-00005361,2025-01-02 14:19:22,DE,Paid Search,Regular,Mobile
USR-00004584,2025-01-02 14:23:31,AU,Paid Search,Bargain,Mobile
USR-00021519,2025-01-02 14:25:51,CA,Social,Regular,Desktop
USR-00007017,2025-01-02 15:09:56,US,Social,Bargain,Desktop
USR-00014771,2025-01-02 15:12:03,US,Paid Search,VIP,Desktop
USR-00013252,2025-01-02 15:50:08,US,Organic Search,Regular,Desktop
USR-00008662,2025-01-02 16:04:25,UK,Paid Search,Bargain,Tablet
USR-00016539,2025-01-02 16:06:05,US,Organic Search,Bargain,Mobile
USR-00022614,2025-01-02 16:26:17,UK,Direct,Bargain,Desktop
USR-00029970,2025-01-02 16:42:46,US,Direct,Regular,Desktop
USR-00022184,2025-01-02 16:43:20,US,Direct,Regular,Tablet
USR-00017716,2025-01-02 16:52:56,AU,Social,Regular,Tablet
USR-00018903,2025-01-02 16:55:16,US,Direct,Regular,Desktop
USR-00002506,2025-01-02 17:05:40,FR,Organic Search,Regular,Mobile
USR-00011532,2025-01-02 17:39:56,US,Paid Search,Regular,Mobile
USR-00000138,2025-01-02 17:44:34,US,Direct,VIP,Mobile
USR-00001935,2025-01-02 18:04:31,US,Direct,Regular,Mobile
USR-00000137,2025-01-02 18:04:39,US,Referral,VIP,Mobile
USR-00018639,2025-01-02 18:11:34,US,Social,Regular,Mobile
USR-00024858,2025-01-02 18:15:53,CA,Paid Search,VIP,Desktop
USR-00013300,2025-01-02 18:17:28,US,Social,Bargain,Desktop
USR-00028817,2025-01-02 18:44:11,CA,Direct,Regular,Mobile
USR-00011360,2025-01-02 19:02:48,CA,Paid Search,Regular,Desktop
USR-00013680,2025-01-02 19:21:16,US,Paid Search,Bargain,Desktop
USR-00028873,2025-01-02 19:25:19,US,Direct,VIP,Tablet
USR-00008152,2025-01-02 19:30:25,UK,Direct,Bargain,Mobile
USR-00022765,2025-01-02 19:48:52,DE,Direct,Regular,Mobile
USR-00016899,2025-01-02 19:55:36,FR,Paid Search,Regular,Mobile
USR-00013626,2025-01-02 20:03:26,DE,Organic Search,Regular,Tablet
USR-00027960,2025-01-02 20:08:41,DE,Paid Search,Regular,Tablet
USR-00011599,2025-01-02 20:26:06,DE,Social,Regular,Desktop
USR-00017173,2025-01-02 20:41:55,UK,Organic Search,Regular,Tablet
USR-00010181,2025-01-02 20:58:23,UK,Direct,Regular,Mobile
USR-00003343,2025-01-02 21:04:28,UK,Direct,Bargain,Tablet
USR-00010066,2025-01-02 21:10:13,US,Email,Bargain,Desktop
USR-00010669,2025-01-02 21:12:16,US,Social,Bargain,Desktop
USR-00018674,2025-01-02 21:25:10,US,Direct,Regular,Mobile
USR-00023988,2025-01-02 22:14:48,AU,Email,Bargain,Desktop
USR-00008270,2025-01-02 22:25:11,AU,Social,Regular,Desktop
USR-00008831,2025-01-02 22:34:22,US,Organic Search,Regular,Mobile
USR-00010127,2025-01-02 22:49:12,UK,Email,Regular,Mobile
USR-00016273,2025-01-02 22:50:11,UK,Organic Search,Bargain,Mobile
USR-00008970,2025-01-02 23:13:43,US,Email,Regular,Desktop
USR-00019052,2025-01-02 23:23:08,DE,Direct,Bargain,Mobile
USR-00025325,2025-01-03 00:07:30,US,Social,Regular,Mobile
USR-00007594,2025-01-03 00:37:18,UK,Organic Search,Regular,Desktop
USR-00020847,2025-01-03 00:42:12,UK,Email,Regular,Desktop
USR-00017699,2025-01-03 00:54:31,US,Social,Bargain,Desktop
USR-00004172,2025-01-03 01:11:27,UK,Direct,Regular,Mobile
USR-00020667,2025-01-03 01:22:22,UK,Paid Search,Bargain,Mobile
USR-00001691,2025-01-03 01:39:42,DE,Direct,Regular,Desktop
USR-00017749,2025-01-03 02:15:38,US,Organic Search,VIP,Mobile
USR-00024472,2025-01-03 02:19:37,FR,Direct,Regular,Mobile
USR-00023631,2025-01-03 02:29:00,US,Direct,Regular,Mobile
USR-00028877,2025-01-03 02:48:30,US,Email,Bargain,Desktop
USR-00005004,2025-01-03 02:53:49,US,Paid Search,Regular,Mobile
USR-00006209,2025-01-03 03:37:43,US,Organic Search,Bargain,Desktop
USR-00026534,2025-01-03 03:40:41,US,Paid Search,Regular,Desktop
USR-00013518,2025-01-03 04:08:05,US,Email,Regular,Mobile
USR-00025470,2025-01-03 04:09:06,DE,Social,Bargain,Mobile
USR-00009261,2025-01-03 04:52:33,UK,Paid Search,Regular,Desktop
USR-00022737,2025-01-03 05:11:51,UK,Email,Regular,Tablet
USR-00021781,2025-01-03 05:44:22,DE,Referral,Regular,Mobile
USR-00017116,2025-01-03 05:46:57,AU,Direct,Bargain,Desktop
USR-00025547,2025-01-03 05:55:29,US,Paid Search,Regular,Desktop
USR-00026332,2025-01-03 06:15:26,US,Paid Search,Regular,Mobile
USR-00006161,2025-01-03 06:28:11,UK,Organic Search,Regular,Mobile
USR-00005440,2025-01-03 06:35:49,FR,Direct,Bargain,Mobile
USR-00014374,2025-01-03 07:07:44,US,Organic Search,Bargain,Mobile
USR-00000481,2025-01-03 08:13:52,DE,Paid Search,Regular,Tablet
USR-00007844,2025-01-03 08:29:24,DE,Organic Search,VIP,Desktop
USR-00012227,2025-01-03 08:41:14,US,Direct,Regular,Desktop
USR-00007271,2025-01-03 09:00:28,US,Email,Regular,Desktop
USR-00028083,2025-01-03 09:06:59,US,Direct,Regular,Mobile
USR-00009341,2025-01-03 09:19:21,US,Direct,Regular,Mobile
USR-00016357,2025-01-03 09:22:46,US,Organic Search,Regular,Tablet
USR-00005129,2025-01-03 09:31:36,AU,Organic Search,Bargain,Desktop
USR-00001492,2025-01-03 09:42:41,US,Direct,Regular,Mobile
USR-00003649,2025-01-03 10:18:20,DE,Paid Search,Regular,Mobile
USR-00019935,2025-01-03 10:32:21,US,Paid Search,Regular,Desktop
USR-00015744,2025-01-03 11:21:06,US,Organic Search,Regular,Desktop
USR-00014695,2025-01-03 11:40:37,US,Social,Regular,Desktop
USR-00013769,2025-01-03 11:43:45,AU,Referral,Bargain,Mobile
USR-00029534,2025-01-03 11:45:18,AU,Social,VIP,Desktop
USR-00018646,2025-01-03 12:11:59,US,Direct,Regular,Desktop
USR-00025893,2025-01-03 12:17:25,AU,Paid Search,Bargain,Desktop
USR-00019549,2025-01-03 12:27:40,US,Paid Search,VIP,Desktop
USR-00016135,2025-01-03 12:42:50,US,Email,Regular,Desktop
USR-00008290,2025-01-03 13:01:45,CA,Paid Search,VIP,Mobile
USR-00018707,2025-01-03 13:06:52,US,Direct,VIP,Mobile
USR-00027433,2025-01-03 13:09:42,CA,Paid Search,Regular,Mobile
USR-00002688,2025-01-03 13:11:50,DE,Paid Search,VIP,Desktop
USR-00003977,2025-01-03 13:17:40,DE,Email,Regular,Desktop
USR-00007009,2025-01-03 13:55:47,US,Organic Search,Regular,Mobile
USR-00000570,2025-01-03 14:27:38,UK,Organic Search,Regular,Desktop
USR-00025875,2025-01-03 14:28:23,UK,Paid Search,Regular,Mobile
USR-00022836,2025-01-03 14:34:25,US,Direct,Regular,Desktop
USR-00020505,2025-01-03 15:51:50,US,Paid Search,Bargain,Desktop
USR-00003419,2025-01-03 16:26:06,US,Organic Search,Bargain,Desktop
USR-00017594,2025-01-03 16:41:08,US,Organic Search,Bargain,Mobile
USR-00012763,2025-01-03 17:02:58,FR,Organic Search,Regular,Desktop
USR-00019561,2025-01-03 17:11:53,US,Organic Search,Regular,Mobile
USR-00016754,2025-01-03 17:22:53,FR,Social,VIP,Mobile
USR-00000466,2025-01-03 17:42:16,DE,Organic Search,Regular,Mobile
USR-00001097,2025-01-03 17:58:24,US,Social,Bargain,Mobile
USR-00015861,2025-01-03 18:09:07,UK,Organic Search,Regular,Tablet
USR-00004056,2025-01-03 18:14:48,UK,Email,VIP,Mobile
USR-00018939,2025-01-03 18:45:24,UK,Email,Regular,Tablet
USR-00014424,2025-01-03 18:59:44,AU,Paid Search,Regular,Mobile
USR-00029329,2025-01-03 19:02:38,US,Direct,Regular,Desktop
USR-00029178,2025-01-03 19:43:44,CA,Paid Search,Regular,Mobile
USR-00003014,2025-01-03 19:48:27,US,Email,Regular,Mobile
USR-00015428,2025-01-03 19:50:07,DE,Direct,Regular,Mobile
USR-00020565,2025-01-03 20:13:04,UK,Email,Regular,Desktop
USR-00017280,2025-01-03 20:16:05,US,Social,Regular,Desktop
USR-00026498,2025-01-03 20:17:44,UK,Referral,Regular,Desktop
USR-00016432,2025-01-03 20:20:45,US,Email,VIP,Desktop
USR-00021598,2025-01-03 20:42:51,US,Organic Search,VIP,Desktop
USR-00011615,2025-01-03 20:43:00,US,Social,Regular,Desktop
USR-00007251,2025-01-03 20:52:24,US,Direct,Regular,Desktop
USR-00025404,2025-01-03 21:08:07,US,Paid Search,VIP,Mobile
USR-00026920,2025-01-03 21:26:38,US,Direct,Regular,Desktop
USR-00012173,2025-01-03 21:47:42,US,Paid Search,Regular,Desktop
USR-00019424,2025-01-03 22:08:20,US,Paid Search,Bargain,Mobile
USR-00023978,2025-01-03 22:09:14,UK,Referral,Regular,Desktop
USR-00016158,2025-01-03 22:11:37,AU,Direct,Bargain,Mobile
USR-00009211,2025-01-03 23:01:33,CA,Paid Search,Regular,Mobile
USR-00000823,2025-01-03 23:11:10,US,Paid Search,Bargain,Desktop
USR-00019689,2025-01-03 23:22:31,CA,Direct,Bargain,Desktop
USR-00006867,2025-01-03 23:44:13,UK,Social,Regular,Desktop
USR-00011122,2025-01-03 23:45:40,CA,Paid Search,VIP,Mobile
USR-00010466,2025-01-04 00:32:19,UK,Organic Search,Bargain,Desktop
USR-00001733,2025-01-04 00:35:32,US,Social,VIP,Mobile
USR-00024537,2025-01-04 01:12:36,UK,Social,Regular,Desktop
USR-00008406,2025-01-04 01:31:10,UK,Paid Search,Regular,Desktop
USR-00004889,2025-01-04 01:58:18,CA,Paid Search,Regular,Desktop
USR-00014144,2025-01-04 02:17:11,DE,Paid Search,VIP,Tablet
USR-00014209,2025-01-04 02:26:34,US,Organic Search,Regular,Tablet
USR-00016304,2025-01-04 02:26:37,UK,Paid Search,Regular,Mobile
USR-00025999,2025-01-04 02:30:50,DE,Organic Search,Regular,Desktop
USR-00015792,2025-01-04 02:38:45,US,Direct,Regular,Mobile
USR-00027739,2025-01-04 02:49:18,US,Paid Search,VIP,Mobile
USR-00026899,2025-01-04 03:11:53,FR,Social,Regular,Mobile
USR-00012299,2025-01-04 03:16:34,US,Email,Regular,Desktop
USR-00028281,2025-01-04 04:04:22,AU,Social,Bargain,Mobile
USR-00023679,2025-01-04 04:05:51,CA,Organic Search,Regular,Desktop
USR-00017690,2025-01-04 04:22:59,DE,Organic Search,VIP,Mobile
USR-00025661,2025-01-04 04:32:27,FR,Paid Search,Regular,Tablet
USR-00014907,2025-01-04 05:11:39,UK,Social,Regular,Desktop
USR-00019199,2025-01-04 05:26:15,UK,Direct,VIP,Mobile
USR-00022799,2025-01-04 05:33:56,CA,Organic Search,Regular,Mobile
USR-00011907,2025-01-04 05:37:16,US,Paid Search,Regular,Mobile
USR-00005875,2025-01-04 05:37:49,AU,Email,Bargain,Desktop
USR-00003087,2025-01-04 05:40:07,DE,Organic Search,Regular,Mobile
USR-00012495,2025-01-04 05:41:47,US,Organic Search,Regular,Desktop
USR-00006038,2025-01-04 05:52:15,US,Social,Regular,Desktop
USR-00011302,2025-01-04 05:56:03,UK,Organic Search,Regular,Mobile
USR-00018501,2025-01-04 06:11:27,US,Organic Search,Bargain,Desktop
USR-00001053,2025-01-04 06:21:11,CA,Organic Search,Bargain,Desktop
USR-00013474,2025-01-04 06:45:46,FR,Referral,Bargain,Mobile
USR-00021645,2025-01-04 07:20:25,US,Paid Search,Regular,Mobile
USR-00010528,2025-01-04 07:56:14,US,Referral,Regular,Desktop
USR-00029019,2025-01-04 08:33:37,US,Direct,Regular,Desktop
USR-00018406,2025-01-04 08:34:23,CA,Referral,Bargain,Mobile
USR-00019497,2025-01-04 08:46:24,US,Email,Regular,Desktop
USR-00026828,2025-01-04 09:09:11,DE,Paid Search,VIP,Mobile
USR-00019053,2025-01-04 09:22:36,US,Social,Bargain,Mobile
USR-00019142,2025-01-04 09:37:56,FR,Direct,VIP,Mobile
USR-00015385,2025-01-04 09:47:32,US,Social,Bargain,Desktop
USR-00017771,2025-01-04 10:22:46,UK,Social,Regular,Mobile
USR-00022831,2025-01-04 10:23:09,US,Paid Search,Bargain,Desktop
USR-00000361,2025-01-04 10:28:14,US,Social,Regular,Mobile
USR-00008955,2025-01-04 10:40:16,US,Direct,Regular,Mobile
USR-00029074,2025-01-04 11:05:23,FR,Direct,Regular,Mobile
USR-00021882,2025-01-04 11:09:03,CA,Paid Search,Regular,Mobile
USR-00024111,2025-01-04 11:32:08,CA,Referral,Regular,Tablet
USR-00023890,2025-01-04 11:48:00,US,Social,Bargain,Tablet
USR-00020954,2025-01-04 12:01:50,US,Email,Regular,Mobile
USR-00004076,2025-01-04 12:03:45,US,Social,Regular,Mobile
USR-00019521,2025-01-04 12:41:33,US,Email,Regular,Mobile
USR-00003110,2025-01-04 12:41:33,US,Direct,Regular,Mobile
USR-00022243,2025-01-04 12:45:20,US,Organic Search,Regular,Desktop
USR-00025852,2025-01-04 12:48:54,US,Organic Search,Regular,Desktop
USR-00016550,2025-01-04 13:06:16,US,Paid Search,Regular,Mobile
USR-00012616,2025-01-04 13:06:21,CA,Paid Search,Regular,Mobile
USR-00027952,2025-01-04 13:28:09,US,Email,Bargain,Mobile
USR-00020677,2025-01-04 13:38:13,US,Organic Search,Regular,Mobile
USR-00005165,2025-01-04 14:00:00,UK,Organic Search,Bargain,Desktop
USR-00018065,2025-01-04 14:22:25,AU,Paid Search,Bargain,Tablet
USR-00026970,2025-01-04 14:33:50,US,Organic Search,Regular,Mobile
USR-00024319,2025-01-04 15:11:06,AU,Organic Search,Bargain,Tablet
USR-00027030,2025-01-04 15:21:49,FR,Social,Regular,Tablet
USR-00010142,2025-01-04 15:42:07,US,Paid Search,VIP,Mobile
USR-00026474,2025-01-04 15:42:59,AU,Email,Bargain,Mobile
USR-00005436,2025-01-04 15:46:02,AU,Referral,Regular,Desktop
USR-00016658,2025-01-04 15:51:47,US,Paid Search,Bargain,Desktop
USR-00027991,2025-01-04 15:54:28,US,Organic Search,Regular,Mobile
USR-00023044,2025-01-04 16:56:11,UK,Social,Regular,Mobile
USR-00028480,2025-01-04 17:32:25,US,Referral,Regular,Tablet
USR-00022211,2025-01-04 17:43:21,FR,Paid Search,Bargain,Desktop
USR-00015169,2025-01-04 18:08:04,UK,Paid Search,VIP,Desktop
USR-00009212,2025-01-04 18:22:36,CA,Direct,Bargain,Desktop
USR-00023541,2025-01-04 18:32:54,DE,Organic Search,VIP,Mobile
USR-00005201,2025-01-04 18:47:04,US,Direct,Bargain,Mobile
USR-00022802,2025-01-04 19:12:10,FR,Paid Search,Regular,Tablet
USR-00017492,2025-01-04 19:25:22,US,Social,Regular,Mobile
USR-00019231,2025-01-04 19:45:31,US,Paid Search,Regular,Desktop
USR-00015464,2025-01-04 19:46:51,CA,Direct,Bargain,Mobile
USR-00006031,2025-01-04 20:37:33,UK,Social,Regular,Desktop
USR-00003192,2025-01-04 20:39:03,US,Paid Search,Regular,Desktop
USR-00015972,2025-01-04 20:41:01,US,Paid Search,Bargain,Mobile
USR-00027110,2025-01-04 20:54:16,UK,Paid Search,VIP,Mobile
USR-00020212,2025-01-04 20:54:36,CA,Organic Search,VIP,Tablet
USR-00000093,2025-01-04 20:57:24,DE,Organic Search,Regular,Mobile
USR-00016987,2025-01-04 21:00:03,US,Organic Search,Bargain,Tablet
USR-00028885,2025-01-04 21:05:32,DE,Paid Search,Bargain,Mobile
USR-00004724,2025-01-04 21:20:07,US,Organic Search,VIP,Tablet
USR-00024011,2025-01-04 21:30:08,UK,Organic Search,Regular,Desktop
USR-00007892,2025-01-04 21:54:30,US,Social,Regular,Desktop
USR-00012268,2025-01-04 22:08:26,AU,Social,Regular,Mobile
USR-00003681,2025-01-04 22:09:53,UK,Social,Bargain,Mobile
USR-00009889,2025-01-04 22:13:34,US,Email,Regular,Desktop
USR-00000082,2025-01-04 22:34:44,US,Organic Search,Regular,Desktop
