order_item_id,order_id,product_id,quantity,unit_price,unit_cost,line_total,total_item_price,line_profit
ITM-000000074,ORD-00000055,PRD-00062,1,68.49,27.5,68.49,68.49,40.99
ITM-000000075,ORD-00000056,PRD-00071,1,86.99,31.3,86.99,86.99,55.69
ITM-000000076,ORD-00000056,PRD-00033,1,27.99,11.51,27.99,27.99,16.48
ITM-000000077,ORD-00000057,PRD-00074,2,16.99,6.2,33.98,33.98,21.58
ITM-000000078,ORD-00000058,PRD-00007,1,316.99,172.8,316.99,316.99,144.19
ITM-000000079,ORD-00000059,PRD-00034,1,34.99,12.79,34.99,34.99,22.2
ITM-000000080,ORD-00000060,PRD-00054,1,137.99,68.35,137.99,137.99,69.64
ITM-000000081,ORD-00000061,PRD-00097,1,167.49,87.54,167.49,167.49,79.95
ITM-000000082,ORD-00000062,PRD-00085,1,105.99,56.37,105.99,105.99,49.62
ITM-000000083,ORD-00000063,PRD-00090,3,232.99,113.86,698.97,698.97,357.39
ITM-000000084,ORD-00000064,PRD-00032,1,42.49,17.54,42.49,42.49,24.95
ITM-000000085,ORD-00000065,PRD-00014,1,337.99,200.36,337.99,337.99,137.63
ITM-000000086,ORD-00000066,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000087,ORD-00000067,PRD-00064,1,24.99,6.91,24.99,24.99,18.08
ITM-000000088,ORD-00000067,PRD-00056,1,135.49,71.03,135.49,135.49,64.46
ITM-000000089,ORD-00000068,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000090,ORD-00000069,PRD-00032,1,42.49,17.54,42.49,42.49,24.95
ITM-000000091,ORD-00000070,PRD-00075,1,56.99,20.25,56.99,56.99,36.74
ITM-000000092,ORD-00000070,PRD-00065,1,24.99,5.84,24.99,24.99,19.15
ITM-000000093,ORD-00000071,PRD-00027,2,83.99,34.49,167.98,167.98,99.0
ITM-000000094,ORD-00000072,PRD-00086,1,140.99,72.94,140.99,140.99,68.05
ITM-000000095,ORD-00000073,PRD-00045,1,83.49,36.38,83.49,83.49,47.11
ITM-000000096,ORD-00000073,PRD-00009,1,94.99,52.51,94.99,94.99,42.48
ITM-000000097,ORD-00000074,PRD-00023,1,31.99,14.2,31.99,31.99,17.79
ITM-000000098,ORD-00000075,PRD-00093,1,227.99,111.71,227.99,227.99,116.28
ITM-000000099,ORD-00000075,PRD-00060,1,176.49,84.75,176.49,176.49,91.74
ITM-000000100,ORD-00000076,PRD-00030,1,67.99,29.21,67.99,67.99,38.78
ITM-000000101,ORD-00000077,PRD-00100,1,143.99,66.17,143.99,143.99,77.82
ITM-000000102,ORD-00000078,PRD-00024,2,54.99,26.28,109.98,109.98,57.42
ITM-000000103,ORD-00000079,PRD-00099,1,50.99,27.57,50.99,50.99,23.42
ITM-000000104,ORD-00000080,PRD-00079,1,46.49,15.84,46.49,46.49,30.65
ITM-000000105,ORD-00000080,PRD-00008,1,325.99,186.16,325.99,325.99,139.83
ITM-000000106,ORD-00000081,PRD-00045,1,83.49,36.38,83.49,83.49,47.11
ITM-000000107,ORD-00000082,PRD-00079,1,46.49,15.84,46.49,46.49,30.65
ITM-000000108,ORD-00000083,PRD-00037,1,41.99,15.18,41.99,41.99,26.81
ITM-000000109,ORD-00000083,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000110,ORD-00000084,PRD-00025,1,55.99,23.35,55.99,55.99,32.64
ITM-000000111,ORD-00000085,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000112,ORD-00000086,PRD-00056,1,135.49,71.03,135.49,135.49,64.46
ITM-000000113,ORD-00000087,PRD-00044,1,72.99,36.23,72.99,72.99,36.76
ITM-000000114,ORD-00000087,PRD-00084,1,31.99,15.58,31.99,31.99,16.41
ITM-000000115,ORD-00000088,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000116,ORD-00000089,PRD-00017,1,244.99,144.79,244.99,244.99,100.2
ITM-000000117,ORD-00000090,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000118,ORD-00000090,PRD-00047,1,100.99,42.27,100.99,100.99,58.72
ITM-000000119,ORD-00000091,PRD-00097,1,167.49,87.54,167.49,167.49,79.95
ITM-000000120,ORD-00000091,PRD-00041,1,180.99,84.81,180.99,180.99,96.18
ITM-000000121,ORD-00000092,PRD-00087,1,43.99,24.1,43.99,43.99,19.89
ITM-000000122,ORD-00000093,PRD-00026,1,94.99,41.91,94.99,94.99,53.08
ITM-000000123,ORD-00000094,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000124,ORD-00000095,PRD-00061,1,75.99,20.12,75.99,75.99,55.87
ITM-000000125,ORD-00000096,PRD-00017,1,244.99,144.79,244.99,244.99,100.2
ITM-000000126,ORD-00000097,PRD-00010,1,207.99,120.07,207.99,207.99,87.92
ITM-000000127,ORD-00000098,PRD-00066,1,84.99,33.73,84.99,84.99,51.26
ITM-000000128,ORD-00000099,PRD-00084,1,31.99,15.58,31.99,31.99,16.41
ITM-000000129,ORD-00000100,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000130,ORD-00000100,PRD-00047,1,100.99,42.27,100.99,100.99,58.72
ITM-000000131,ORD-00000101,PRD-00003,1,350.49,212.61,350.49,350.49,137.88
ITM-000000132,ORD-00000102,PRD-00082,1,151.49,68.21,151.49,151.49,83.28
ITM-000000133,ORD-00000103,PRD-00033,2,27.99,11.51,55.98,55.98,32.96
ITM-000000134,ORD-00000104,PRD-00071,1,86.99,31.3,86.99,86.99,55.69
ITM-000000135,ORD-00000104,PRD-00080,1,87.99,32.75,87.99,87.99,55.24
ITM-000000136,ORD-00000105,PRD-00056,1,135.49,71.03,135.49,135.49,64.46
ITM-000000137,ORD-00000106,PRD-00027,2,83.99,34.49,167.98,167.98,99.0
ITM-000000138,ORD-00000107,PRD-00043,1,105.99,49.95,105.99,105.99,56.04
ITM-000000139,ORD-00000107,PRD-00069,1,51.99,14.6,51.99,51.99,37.39
ITM-000000140,ORD-00000107,PRD-00026,1,94.99,41.91,94.99,94.99,53.08
ITM-000000141,ORD-00000108,PRD-00048,1,33.49,15.83,33.49,33.49,17.66
ITM-000000142,ORD-00000109,PRD-00032,2,42.49,17.54,84.98,84.98,49.9
ITM-000000143,ORD-00000110,PRD-00082,1,151.49,68.21,151.49,151.49,83.28
ITM-000000144,ORD-00000111,PRD-00035,1,100.99,39.04,100.99,100.99,61.95
ITM-000000145,ORD-00000112,PRD-00097,1,167.49,87.54,167.49,167.49,79.95
ITM-000000146,ORD-00000113,PRD-00070,2,64.99,25.31,129.98,129.98,79.36
ITM-000000147,ORD-00000114,PRD-00090,1,232.99,113.86,232.99,232.99,119.13
ITM-000000148,ORD-00000114,PRD-00049,1,162.99,86.22,162.99,162.99,76.77
ITM-000000149,ORD-00000114,PRD-00033,1,27.99,11.51,27.99,27.99,16.48
ITM-000000150,ORD-00000115,PRD-00043,1,105.99,49.95,105.99,105.99,56.04
ITM-000000151,ORD-00000115,PRD-00075,1,56.99,20.25,56.99,56.99,36.74
ITM-000000152,ORD-00000116,PRD-00020,1,271.99,147.22,271.99,271.99,124.77
ITM-000000153,ORD-00000117,PRD-00025,1,55.99,23.35,55.99,55.99,32.64
ITM-000000154,ORD-00000118,PRD-00075,1,56.99,20.25,56.99,56.99,36.74
ITM-000000155,ORD-00000118,PRD-00014,1,337.99,200.36,337.99,337.99,137.63
ITM-000000156,ORD-00000119,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000157,ORD-00000120,PRD-00027,1,83.99,34.49,83.99,83.99,49.5
ITM-000000158,ORD-00000121,PRD-00058,1,152.99,69.5,152.99,152.99,83.49
ITM-000000159,ORD-00000122,PRD-00009,1,94.99,52.51,94.99,94.99,42.48
ITM-000000160,ORD-00000123,PRD-00003,1,350.49,212.61,350.49,350.49,137.88
ITM-000000161,ORD-00000124,PRD-00071,1,86.99,31.3,86.99,86.99,55.69
ITM-000000162,ORD-00000125,PRD-00096,1,199.99,116.57,199.99,199.99,83.42
ITM-000000163,ORD-00000126,PRD-00015,1,205.99,123.35,205.99,205.99,82.64
ITM-000000164,ORD-00000127,PRD-00038,1,77.49,36.23,77.49,77.49,41.26
ITM-000000165,ORD-00000127,PRD-00014,1,337.99,200.36,337.99,337.99,137.63
ITM-000000166,ORD-00000128,PRD-00074,1,16.99,6.2,16.99,16.99,10.79
ITM-000000167,ORD-00000129,PRD-00054,1,137.99,68.35,137.99,137.99,69.64
ITM-000000168,ORD-00000130,PRD-00079,1,46.49,15.84,46.49,46.49,30.65
ITM-000000169,ORD-00000130,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000170,ORD-00000130,PRD-00023,1,31.99,14.2,31.99,31.99,17.79
ITM-000000171,ORD-00000131,PRD-00069,2,51.99,14.6,103.98,103.98,74.78
ITM-000000172,ORD-00000131,PRD-00041,2,180.99,84.81,361.98,361.98,192.36
ITM-000000173,ORD-00000131,PRD-00098,1,199.49,113.09,199.49,199.49,86.4
ITM-000000174,ORD-00000132,PRD-00066,1,84.99,33.73,84.99,84.99,51.26
ITM-000000175,ORD-00000133,PRD-00080,1,87.99,32.75,87.99,87.99,55.24
ITM-000000176,ORD-00000134,PRD-00050,1,173.99,93.04,173.99,173.99,80.95
ITM-000000177,ORD-00000134,PRD-00037,1,41.99,15.18,41.99,41.99,26.81
ITM-000000178,ORD-00000135,PRD-00085,1,105.99,56.37,105.99,105.99,49.62
ITM-000000179,ORD-00000136,PRD-00023,1,31.99,14.2,31.99,31.99,17.79
ITM-000000180,ORD-00000136,PRD-00009,1,94.99,52.51,94.99,94.99,42.48
ITM-000000181,ORD-00000137,PRD-00062,3,68.49,27.5,205.47,205.47,122.97
ITM-000000182,ORD-00000138,PRD-00065,1,24.99,5.84,24.99,24.99,19.15
ITM-000000183,ORD-00000138,PRD-00025,1,55.99,23.35,55.99,55.99,32.64
ITM-000000184,ORD-00000139,PRD-00007,1,316.99,172.8,316.99,316.99,144.19
ITM-000000185,ORD-00000139,PRD-00062,2,68.49,27.5,136.98,136.98,81.98
ITM-000000186,ORD-00000139,PRD-00061,1,75.99,20.12,75.99,75.99,55.87
ITM-000000187,ORD-00000140,PRD-00047,2,100.99,42.27,201.98,201.98,117.44
ITM-000000188,ORD-00000141,PRD-00088,1,211.99,101.84,211.99,211.99,110.15
ITM-000000189,ORD-00000141,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000190,ORD-00000141,PRD-00090,1,232.99,113.86,232.99,232.99,119.13
ITM-000000191,ORD-00000142,PRD-00093,1,227.99,111.71,227.99,227.99,116.28
ITM-000000192,ORD-00000143,PRD-00028,1,107.49,45.05,107.49,107.49,62.44
ITM-000000193,ORD-00000144,PRD-00074,1,16.99,6.2,16.99,16.99,10.79
ITM-000000194,ORD-00000144,PRD-00095,1,204.99,100.6,204.99,204.99,104.39
ITM-000000195,ORD-00000145,PRD-00047,2,100.99,42.27,201.98,201.98,117.44
ITM-000000196,ORD-00000145,PRD-00080,1,87.99,32.75,87.99,87.99,55.24
ITM-000000197,ORD-00000146,PRD-00088,1,211.99,101.84,211.99,211.99,110.15
ITM-000000198,ORD-00000146,PRD-00016,1,129.99,78.72,129.99,129.99,51.27
ITM-000000199,ORD-00000147,PRD-00038,1,77.49,36.23,77.49,77.49,41.26
ITM-000000200,ORD-00000147,PRD-00077,1,22.99,8.27,22.99,22.99,14.72
ITM-000000201,ORD-00000147,PRD-00013,1,275.99,176.16,275.99,275.99,99.83
ITM-000000202,ORD-00000148,PRD-00098,1,199.49,113.09,199.49,199.49,86.4
ITM-000000203,ORD-00000148,PRD-00061,1,75.99,20.12,75.99,75.99,55.87
ITM-000000204,ORD-00000149,PRD-00001,1,320.99,176.63,320.99,320.99,144.36
ITM-000000205,ORD-00000149,PRD-00021,1,114.99,46.3,114.99,114.99,68.69
ITM-000000206,ORD-00000149,PRD-00061,1,75.99,20.12,75.99,75.99,55.87
ITM-000000207,ORD-00000150,PRD-00064,1,24.99,6.91,24.99,24.99,18.08
ITM-000000208,ORD-00000151,PRD-00040,3,98.99,45.24,296.97,296.97,161.25
ITM-000000209,ORD-00000152,PRD-00025,1,55.99,23.35,55.99,55.99,32.64
ITM-000000210,ORD-00000153,PRD-00062,1,68.49,27.5,68.49,68.49,40.99
ITM-000000211,ORD-00000153,PRD-00090,1,232.99,113.86,232.99,232.99,119.13
ITM-000000212,ORD-00000154,PRD-00094,1,245.99,110.0,245.99,245.99,135.99
ITM-000000213,ORD-00000154,PRD-00051,1,52.99,21.94,52.99,52.99,31.05
ITM-000000214,ORD-00000155,PRD-00032,1,42.49,17.54,42.49,42.49,24.95
ITM-000000215,ORD-00000155,PRD-00006,1,391.99,223.93,391.99,391.99,168.06
ITM-000000216,ORD-00000156,PRD-00041,1,180.99,84.81,180.99,180.99,96.18
ITM-000000217,ORD-00000157,PRD-00080,1,87.99,32.75,87.99,87.99,55.24
ITM-000000218,ORD-00000157,PRD-00051,2,52.99,21.94,105.98,105.98,62.1
ITM-000000219,ORD-00000158,PRD-00067,1,44.99,16.41,44.99,44.99,28.58
ITM-000000220,ORD-00000159,PRD-00068,1,37.49,12.61,37.49,37.49,24.88
ITM-000000221,ORD-00000160,PRD-00023,1,31.99,14.2,31.99,31.99,17.79
ITM-000000222,ORD-00000161,PRD-00031,1,110.99,51.16,110.99,110.99,59.83
ITM-000000223,ORD-00000162,PRD-00069,2,51.99,14.6,103.98,103.98,74.78
ITM-000000224,ORD-00000163,PRD-00027,1,83.99,34.49,83.99,83.99,49.5
ITM-000000225,ORD-00000163,PRD-00014,2,337.99,200.36,675.98,675.98,275.26
ITM-000000226,ORD-00000163,PRD-00086,1,140.99,72.94,140.99,140.99,68.05
ITM-000000227,ORD-00000164,PRD-00022,1,49.99,20.52,49.99,49.99,29.47
ITM-000000228,ORD-00000164,PRD-00097,1,167.49,87.54,167.49,167.49,79.95
ITM-000000229,ORD-00000165,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000230,ORD-00000166,PRD-00032,1,42.49,17.54,42.49,42.49,24.95
ITM-000000231,ORD-00000166,PRD-00005,1,82.99,47.75,82.99,82.99,35.24
ITM-000000232,ORD-00000166,PRD-00021,1,114.99,46.3,114.99,114.99,68.69
ITM-000000233,ORD-00000167,PRD-00022,1,49.99,20.52,49.99,49.99,29.47
ITM-000000234,ORD-00000167,PRD-00047,1,100.99,42.27,100.99,100.99,58.72
ITM-000000235,ORD-00000168,PRD-00066,1,84.99,33.73,84.99,84.99,51.26
ITM-000000236,ORD-00000169,PRD-00064,1,24.99,6.91,24.99,24.99,18.08
ITM-000000237,ORD-00000169,PRD-00067,1,44.99,16.41,44.99,44.99,28.58
ITM-000000238,ORD-00000169,PRD-00061,1,75.99,20.12,75.99,75.99,55.87
ITM-000000239,ORD-00000170,PRD-00093,1,227.99,111.71,227.99,227.99,116.28
ITM-000000240,ORD-00000170,PRD-00098,1,199.49,113.09,199.49,199.49,86.4
ITM-000000241,ORD-00000171,PRD-00077,1,22.99,8.27,22.99,22.99,14.72
ITM-000000242,ORD-00000172,PRD-00092,1,214.99,101.72,214.99,214.99,113.27
ITM-000000243,ORD-00000173,PRD-00067,1,44.99,16.41,44.99,44.99,28.58
ITM-000000244,ORD-00000173,PRD-00036,1,73.99,30.02,73.99,73.99,43.97
ITM-000000245,ORD-00000174,PRD-00070,1,64.99,25.31,64.99,64.99,39.68
ITM-000000246,ORD-00000175,PRD-00021,3,114.99,46.3,344.97,344.97,206.07
ITM-000000247,ORD-00000176,PRD-00058,3,152.99,69.5,458.97,458.97,250.47
ITM-000000248,ORD-00000176,PRD-00044,3,72.99,36.23,218.97,218.97,110.28
ITM-000000249,ORD-00000177,PRD-00032,1,42.49,17.54,42.49,42.49,24.95
ITM-000000250,ORD-00000178,PRD-00016,1,129.99,78.72,129.99,129.99,51.27
ITM-000000251,ORD-00000179,PRD-00028,1,107.49,45.05,107.49,107.49,62.44
ITM-000000252,ORD-00000180,PRD-00077,1,22.99,8.27,22.99,22.99,14.72
ITM-000000253,ORD-00000180,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000254,ORD-00000181,PRD-00044,1,72.99,36.23,72.99,72.99,36.76
ITM-000000255,ORD-00000182,PRD-00095,1,204.99,100.6,204.99,204.99,104.39
ITM-000000256,ORD-00000183,PRD-00020,1,271.99,147.22,271.99,271.99,124.77
ITM-000000257,ORD-00000184,PRD-00070,1,64.99,25.31,64.99,64.99,39.68
ITM-000000258,ORD-00000184,PRD-00066,1,84.99,33.73,84.99,84.99,51.26
ITM-000000259,ORD-00000185,PRD-00064,1,24.99,6.91,24.99,24.99,18.08
ITM-000000260,ORD-00000186,PRD-00083,2,115.99,58.28,231.98,231.98,115.42
ITM-000000261,ORD-00000186,PRD-00003,3,350.49,212.61,1051.47,1051.47,413.64
ITM-000000262,ORD-00000186,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000263,ORD-00000187,PRD-00035,1,100.99,39.04,100.99,100.99,61.95
ITM-000000264,ORD-00000187,PRD-00053,2,47.99,23.38,95.98,95.98,49.22
ITM-000000265,ORD-00000188,PRD-00085,1,105.99,56.37,105.99,105.99,49.62
ITM-000000266,ORD-00000189,PRD-00087,1,43.99,24.1,43.99,43.99,19.89
ITM-000000267,ORD-00000189,PRD-00085,1,105.99,56.37,105.99,105.99,49.62
ITM-000000268,ORD-00000190,PRD-00094,1,245.99,110.0,245.99,245.99,135.99
ITM-000000269,ORD-00000191,PRD-00049,1,162.99,86.22,162.99,162.99,76.77
ITM-000000270,ORD-00000192,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000271,ORD-00000192,PRD-00062,1,68.49,27.5,68.49,68.49,40.99
ITM-000000272,ORD-00000193,PRD-00043,1,105.99,49.95,105.99,105.99,56.04
ITM-000000273,ORD-00000194,PRD-00032,1,42.49,17.54,42.49,42.49,24.95
ITM-000000274,ORD-00000195,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000275,ORD-00000196,PRD-00032,3,42.49,17.54,127.47,127.47,74.85
ITM-000000276,ORD-00000197,PRD-00009,2,94.99,52.51,189.98,189.98,84.96
ITM-000000277,ORD-00000197,PRD-00041,1,180.99,84.81,180.99,180.99,96.18
ITM-000000278,ORD-00000198,PRD-00046,1,113.49,52.53,113.49,113.49,60.96
ITM-000000279,ORD-00000198,PRD-00084,1,31.99,15.58,31.99,31.99,16.41
ITM-000000280,ORD-00000199,PRD-00037,1,41.99,15.18,41.99,41.99,26.81
ITM-000000281,ORD-00000199,PRD-00093,1,227.99,111.71,227.99,227.99,116.28
ITM-000000282,ORD-00000200,PRD-00007,1,316.99,172.8,316.99,316.99,144.19
ITM-000000283,ORD-00000201,PRD-00063,2,70.49,27.76,140.98,140.98,85.46
ITM-000000284,ORD-00000202,PRD-00092,1,214.99,101.72,214.99,214.99,113.27
ITM-000000285,ORD-00000203,PRD-00019,2,339.99,208.97,679.98,679.98,262.04
ITM-000000286,ORD-00000204,PRD-00026,1,94.99,41.91,94.99,94.99,53.08
ITM-000000287,ORD-00000204,PRD-00010,1,207.99,120.07,207.99,207.99,87.92
ITM-000000288,ORD-00000205,PRD-00003,3,350.49,212.61,1051.47,1051.47,413.64
ITM-000000289,ORD-00000205,PRD-00055,1,74.99,31.61,74.99,74.99,43.38
ITM-000000290,ORD-00000206,PRD-00086,1,140.99,72.94,140.99,140.99,68.05
ITM-000000291,ORD-00000206,PRD-00054,1,137.99,68.35,137.99,137.99,69.64
ITM-000000292,ORD-00000207,PRD-00018,1,72.99,37.97,72.99,72.99,35.02
ITM-000000293,ORD-00000207,PRD-00096,2,199.99,116.57,399.98,399.98,166.84
ITM-000000294,ORD-00000207,PRD-00028,1,107.49,45.05,107.49,107.49,62.44
ITM-000000295,ORD-00000208,PRD-00025,1,55.99,23.35,55.99,55.99,32.64
ITM-000000296,ORD-00000209,PRD-00091,1,42.99,22.68,42.99,42.99,20.31
ITM-000000297,ORD-00000210,PRD-00006,1,391.99,223.93,391.99,391.99,168.06
ITM-000000298,ORD-00000211,PRD-00014,1,337.99,200.36,337.99,337.99,137.63
ITM-000000299,ORD-00000212,PRD-00023,2,31.99,14.2,63.98,63.98,35.58
ITM-000000300,ORD-00000213,PRD-00058,1,152.99,69.5,152.99,152.99,83.49
ITM-000000301,ORD-00000213,PRD-00081,1,77.99,39.19,77.99,77.99,38.8
ITM-000000302,ORD-00000214,PRD-00012,1,374.49,207.75,374.49,374.49,166.74
ITM-000000303,ORD-00000215,PRD-00049,3,162.99,86.22,488.97,488.97,230.31
ITM-000000304,ORD-00000215,PRD-00016,1,129.99,78.72,129.99,129.99,51.27
ITM-000000305,ORD-00000216,PRD-00006,1,391.99,223.93,391.99,391.99,168.06
ITM-000000306,ORD-00000217,PRD-00070,1,64.99,25.31,64.99,64.99,39.68
ITM-000000307,ORD-00000217,PRD-00095,2,204.99,100.6,409.98,409.98,208.78
ITM-000000308,ORD-00000218,PRD-00030,2,67.99,29.21,135.98,135.98,77.56
