order_id,session_id,user_id,order_date,order_timestamp,subtotal,tax_amount,shipping_fee,discount_amount,total_amount,payment_method,status,ab_variant
ORD-00000056,SES-000001890,USR-00012659,2025-01-19,2025-01-19 20:12:45.083034634,114.98,9.49,0.0,0.0,124.47,Apple Pay,completed,treatment
ORD-00000057,SES-000001967,USR-00016690,2025-01-20,2025-01-20 13:48:49.696497427,33.98,2.52,5.99,3.4,39.09,PayPal,completed,treatment
ORD-00000058,SES-000002002,USR-00001292,2025-01-20,2025-01-20 21:13:57.725769587,316.99,23.54,0.0,31.7,308.83,Apple Pay,completed,treatment
ORD-00000059,SES-000002036,USR-00002093,2025-01-21,2025-01-21 05:22:17.099268351,34.99,2.89,5.99,0.0,43.87,Credit Card,completed,treatment
ORD-00000060,SES-000002080,USR-00022905,2025-01-21,2025-01-21 18:09:38.224425482,137.99,11.38,0.0,0.0,149.37,Credit Card,completed,control
ORD-00000061,SES-000002085,USR-00021949,2025-01-21,2025-01-21 18:51:35.414410635,167.49,12.44,0.0,16.75,163.18,Klarna,completed,treatment
ORD-00000062,SES-000002089,USR-00024909,2025-01-21,2025-01-21 19:55:45.855044585,105.99,7.87,0.0,10.6,103.26,Credit Card,completed,control
ORD-00000063,SES-000002186,USR-00006665,2025-01-22,2025-01-22 18:59:26.794509717,698.97,51.9,0.0,69.9,680.97,Credit Card,completed,control
ORD-00000064,SES-000002236,USR-00020843,2025-01-23,2025-01-23 07:22:05.837087788,42.49,3.15,5.99,4.25,47.38,PayPal,completed,control
ORD-00000065,SES-000002247,USR-00017988,2025-01-23,2025-01-23 09:20:27.548759025,337.99,27.88,0.0,0.0,365.87,Credit Card,completed,treatment
ORD-00000066,SES-000002275,USR-00012366,2025-01-23,2025-01-23 15:17:09.606653355,77.99,6.43,0.0,0.0,84.42,Credit Card,completed,control
ORD-00000067,SES-000002302,USR-00024111,2025-01-23,2025-01-23 21:49:21.384579413,160.48,13.24,0.0,0.0,173.72,Credit Card,completed,treatment
ORD-00000068,SES-000002321,USR-00012569,2025-01-24,2025-01-24 01:35:20.048728749,42.99,3.55,5.99,0.0,52.53,Credit Card,completed,control
ORD-00000069,SES-000002345,USR-00000558,2025-01-24,2025-01-24 09:16:01.124959707,42.49,3.15,5.99,4.25,47.38,PayPal,completed,control
ORD-00000070,SES-000002375,USR-00017173,2025-01-24,2025-01-24 16:05:42.894308477,81.98,6.76,0.0,0.0,88.74,Credit Card,completed,treatment
ORD-00000071,SES-000002387,USR-00000506,2025-01-24,2025-01-24 18:21:06.995958895,167.98,13.86,0.0,0.0,181.84,Credit Card,completed,treatment
ORD-00000072,SES-000002397,USR-00014532,2025-01-24,2025-01-24 21:12:35.985008013,140.99,11.63,0.0,0.0,152.62,PayPal,completed,treatment
ORD-00000073,SES-000002401,USR-00001292,2025-01-24,2025-01-24 21:56:37.001432895,178.48,13.25,0.0,17.85,173.88,Klarna,completed,treatment
ORD-00000074,SES-000002421,USR-00019129,2025-01-25,2025-01-25 02:22:15.597773978,31.99,2.64,5.99,0.0,40.62,Credit Card,completed,control
ORD-00000075,SES-000002424,USR-00020730,2025-01-25,2025-01-25 03:21:34.000837800,404.48,33.37,0.0,0.0,437.85,Credit Card,completed,treatment
ORD-00000076,SES-000002436,USR-00023878,2025-01-25,2025-01-25 05:32:04.913492720,67.99,5.05,5.99,6.8,72.23,Credit Card,completed,treatment
ORD-00000077,SES-000002475,USR-00010777,2025-01-25,2025-01-25 16:15:28.253150755,143.99,10.69,0.0,14.4,140.28,Credit Card,completed,control
ORD-00000078,SES-000002483,USR-00019997,2025-01-25,2025-01-25 17:17:22.080359819,109.98,8.17,0.0,11.0,107.15,Credit Card,completed,control
ORD-00000079,SES-000002530,USR-00007557,2025-01-26,2025-01-26 06:21:32.030010768,50.99,4.0,5.99,2.55,58.43,PayPal,completed,treatment
ORD-00000080,SES-000002577,USR-00022688,2025-01-26,2025-01-26 16:51:59.614020843,372.48,30.73,0.0,0.0,403.21,Credit Card,completed,control
ORD-00000081,SES-000002592,USR-00029928,2025-01-26,2025-01-26 20:29:22.108849597,83.49,6.2,0.0,8.35,81.34,Credit Card,completed,treatment
ORD-00000082,SES-000002594,USR-00002041,2025-01-26,2025-01-26 20:50:22.577967262,46.49,3.84,5.99,0.0,56.32,PayPal,completed,treatment
ORD-00000083,SES-000002610,USR-00017053,2025-01-27,2025-01-27 00:30:39.669420151,155.48,12.83,0.0,0.0,168.31,PayPal,completed,treatment
ORD-00000084,SES-000002612,USR-00027699,2025-01-27,2025-01-27 00:47:18.858278662,55.99,4.39,5.99,2.8,63.57,Apple Pay,completed,treatment
ORD-00000085,SES-000002615,USR-00015675,2025-01-27,2025-01-27 01:00:19.977293244,113.49,8.43,0.0,11.35,110.57,Credit Card,completed,control
ORD-00000086,SES-000002676,USR-00021418,2025-01-27,2025-01-27 16:27:25.171056213,135.49,10.06,0.0,13.55,132.0,Credit Card,completed,control
ORD-00000087,SES-000002684,USR-00000113,2025-01-27,2025-01-27 18:02:19.360995331,104.98,7.79,0.0,10.5,102.27,Apple Pay,completed,control
ORD-00000088,SES-000002689,USR-00013962,2025-01-27,2025-01-27 19:00:56.903688319,42.99,3.37,5.99,2.15,50.2,Credit Card,completed,treatment
ORD-00000089,SES-000002748,USR-00018807,2025-01-28,2025-01-28 06:23:52.757624480,244.99,20.21,0.0,0.0,265.2,PayPal,completed,treatment
ORD-00000090,SES-000002751,USR-00011753,2025-01-28,2025-01-28 07:12:34.964776890,214.48,17.69,0.0,0.0,232.17,Apple Pay,completed,control
ORD-00000091,SES-000002756,USR-00013292,2025-01-28,2025-01-28 07:52:51.405765053,348.48,25.87,0.0,34.85,339.5,Credit Card,completed,control
ORD-00000092,SES-000002776,USR-00002834,2025-01-28,2025-01-28 13:45:07.970760369,43.99,3.63,5.99,0.0,53.61,Apple Pay,completed,control
ORD-00000093,SES-000002802,USR-00019562,2025-01-28,2025-01-28 20:06:42.698665982,94.99,7.05,0.0,9.5,92.54,Apple Pay,completed,treatment
ORD-00000094,SES-000002830,USR-00020841,2025-01-29,2025-01-29 03:41:31.906270394,113.49,9.36,0.0,0.0,122.85,Credit Card,completed,control
ORD-00000095,SES-000002938,USR-00016709,2025-01-30,2025-01-30 04:17:44.703212081,75.99,6.27,0.0,0.0,82.26,Credit Card,completed,treatment
ORD-00000096,SES-000002982,USR-00010142,2025-01-30,2025-01-30 16:21:35.769226667,244.99,18.19,0.0,24.5,238.68,PayPal,completed,control
ORD-00000097,SES-000003025,USR-00011002,2025-01-31,2025-01-31 01:54:05.624396322,207.99,17.16,0.0,0.0,225.15,Credit Card,completed,control
ORD-00000098,SES-000003037,USR-00017856,2025-01-31,2025-01-31 03:40:25.199611796,84.99,6.66,0.0,4.25,87.4,Credit Card,completed,treatment
ORD-00000099,SES-000003045,USR-00001630,2025-01-31,2025-01-31 06:08:01.964156495,31.99,2.64,5.99,0.0,40.62,Apple Pay,completed,treatment
ORD-00000100,SES-000003075,USR-00007141,2025-01-31,2025-01-31 12:08:44.734492969,143.98,10.69,0.0,14.4,140.27,Apple Pay,completed,treatment
ORD-00000101,SES-000003107,USR-00028873,2025-01-31,2025-01-31 17:41:10.720302744,350.49,26.02,0.0,35.05,341.46,PayPal,completed,control
ORD-00000102,SES-000003140,USR-00003519,2025-02-01,2025-02-01 00:20:44.023347250,151.49,12.5,0.0,0.0,163.99,PayPal,completed,control
ORD-00000103,SES-000003147,USR-00016221,2025-02-01,2025-02-01 02:12:09.480545337,55.98,4.16,5.99,5.6,60.53,Apple Pay,completed,treatment
ORD-00000104,SES-000003156,USR-00024533,2025-02-01,2025-02-01 04:43:07.253509140,174.98,12.99,0.0,17.5,170.47,Klarna,completed,control
ORD-00000105,SES-000003210,USR-00003841,2025-02-01,2025-02-01 17:48:29.621827178,135.49,10.06,0.0,13.55,132.0,Apple Pay,completed,treatment
ORD-00000106,SES-000003217,USR-00029015,2025-02-01,2025-02-01 19:39:49.182912333,167.98,13.86,0.0,0.0,181.84,PayPal,completed,treatment
ORD-00000107,SES-000003252,USR-00010718,2025-02-02,2025-02-02 03:44:41.561946045,252.97,20.87,0.0,0.0,273.84,Credit Card,completed,control
ORD-00000108,SES-000003298,USR-00021132,2025-02-02,2025-02-02 14:00:59.899983969,33.49,2.76,5.99,0.0,42.24,Apple Pay,completed,treatment
ORD-00000109,SES-000003317,USR-00006038,2025-02-02,2025-02-02 16:59:01.112316747,84.98,7.01,0.0,0.0,91.99,Klarna,completed,control
ORD-00000110,SES-000003417,USR-00020624,2025-02-03,2025-02-03 12:26:47.275115433,151.49,11.25,0.0,15.15,147.59,Credit Card,completed,treatment
ORD-00000111,SES-000003429,USR-00003392,2025-02-03,2025-02-03 14:11:49.808361675,100.99,8.33,0.0,0.0,109.32,Apple Pay,completed,control
ORD-00000112,SES-000003433,USR-00014559,2025-02-03,2025-02-03 15:29:43.177910813,167.49,12.44,0.0,16.75,163.18,Credit Card,completed,control
ORD-00000113,SES-000003435,USR-00013237,2025-02-03,2025-02-03 15:39:13.927804584,129.98,10.72,0.0,0.0,140.7,PayPal,completed,treatment
ORD-00000114,SES-000003438,USR-00028695,2025-02-03,2025-02-03 16:21:29.926935219,423.97,31.48,0.0,42.4,413.05,Credit Card,completed,control
ORD-00000115,SES-000003439,USR-00017893,2025-02-03,2025-02-03 16:45:51.232695434,162.98,12.1,0.0,16.3,158.78,Apple Pay,completed,treatment
ORD-00000116,SES-000003477,USR-00026050,2025-02-03,2025-02-03 22:27:10.503162952,271.99,22.44,0.0,0.0,294.43,Credit Card,completed,control
ORD-00000117,SES-000003492,USR-00021934,2025-02-04,2025-02-04 01:16:39.182335143,55.99,4.62,5.99,0.0,66.6,Credit Card,completed,treatment
ORD-00000118,SES-000003500,USR-00029549,2025-02-04,2025-02-04 02:27:13.497451873,394.98,29.33,0.0,39.5,384.81,PayPal,completed,control
ORD-00000119,SES-000003511,USR-00012081,2025-02-04,2025-02-04 04:50:59.406262585,77.99,5.79,0.0,7.8,75.98,PayPal,completed,treatment
ORD-00000120,SES-000003522,USR-00006927,2025-02-04,2025-02-04 06:30:03.911082977,83.99,6.93,0.0,0.0,90.92,Credit Card,completed,treatment
ORD-00000121,SES-000003585,USR-00009598,2025-02-04,2025-02-04 18:08:29.783061450,152.99,11.36,0.0,15.3,149.05,Credit Card,completed,control
ORD-00000122,SES-000003610,USR-00007200,2025-02-04,2025-02-04 23:29:50.446213627,94.99,7.05,0.0,9.5,92.54,Credit Card,completed,treatment
ORD-00000123,SES-000003684,USR-00028832,2025-02-05,2025-02-05 13:58:55.675150006,350.49,26.02,0.0,35.05,341.46,PayPal,completed,control
ORD-00000124,SES-000003759,USR-00026402,2025-02-06,2025-02-06 05:26:08.137674540,86.99,6.82,0.0,4.35,89.46,Apple Pay,completed,treatment
ORD-00000125,SES-000003771,USR-00022707,2025-02-06,2025-02-06 07:34:51.582845082,199.99,14.85,0.0,20.0,194.84,PayPal,completed,control
ORD-00000126,SES-000003780,USR-00004057,2025-02-06,2025-02-06 09:02:40.033844477,205.99,15.29,0.0,20.6,200.68,Credit Card,completed,control
ORD-00000127,SES-000003788,USR-00029333,2025-02-06,2025-02-06 10:06:53.584092357,415.48,30.85,0.0,41.55,404.78,Credit Card,completed,treatment
ORD-00000128,SES-000003798,USR-00022629,2025-02-06,2025-02-06 12:21:32.953272482,16.99,1.26,5.99,1.7,22.54,PayPal,completed,treatment
ORD-00000129,SES-000003843,USR-00018371,2025-02-06,2025-02-06 20:50:29.725791506,137.99,11.38,0.0,0.0,149.37,Credit Card,completed,treatment
ORD-00000130,SES-000003908,USR-00015659,2025-02-07,2025-02-07 12:32:24.062337279,156.47,12.91,0.0,0.0,169.38,Apple Pay,completed,control
ORD-00000131,SES-000003959,USR-00016337,2025-02-07,2025-02-07 22:24:17.834473907,665.45,49.41,0.0,66.54,648.32,Apple Pay,completed,treatment
ORD-00000132,SES-000004003,USR-00014967,2025-02-08,2025-02-08 05:10:25.475094920,84.99,7.01,0.0,0.0,92.0,Apple Pay,completed,treatment
ORD-00000133,SES-000004041,USR-00003016,2025-02-08,2025-02-08 12:22:42.580750485,87.99,7.26,0.0,0.0,95.25,Klarna,completed,treatment
ORD-00000134,SES-000004056,USR-00009101,2025-02-08,2025-02-08 15:18:44.193135327,215.98,17.82,0.0,0.0,233.8,Klarna,completed,treatment
ORD-00000135,SES-000004064,USR-00005416,2025-02-08,2025-02-08 17:26:20.146798462,105.99,8.74,0.0,0.0,114.73,Credit Card,completed,control
ORD-00000136,SES-000004084,USR-00003071,2025-02-08,2025-02-08 23:37:05.306039436,126.98,10.48,0.0,0.0,137.46,Apple Pay,completed,treatment
ORD-00000137,SES-000004085,USR-00020565,2025-02-08,2025-02-08 23:42:18.315298470,205.47,16.95,0.0,0.0,222.42,Credit Card,completed,control
ORD-00000138,SES-000004096,USR-00025036,2025-02-09,2025-02-09 02:04:43.983720880,80.98,6.01,0.0,8.1,78.89,Apple Pay,completed,treatment
ORD-00000139,SES-000004105,USR-00015407,2025-02-09,2025-02-09 03:04:06.525185776,529.96,43.72,0.0,0.0,573.68,PayPal,completed,treatment
ORD-00000140,SES-000004112,USR-00017325,2025-02-09,2025-02-09 07:00:54.258268084,201.98,15.83,0.0,10.1,207.71,Credit Card,completed,control
ORD-00000141,SES-000004125,USR-00029130,2025-02-09,2025-02-09 10:13:42.409820269,522.97,43.15,0.0,0.0,566.12,Credit Card,completed,control
ORD-00000142,SES-000004141,USR-00015538,2025-02-09,2025-02-09 13:50:43.612905569,227.99,18.81,0.0,0.0,246.8,Klarna,completed,treatment
ORD-00000143,SES-000004175,USR-00013180,2025-02-09,2025-02-09 18:33:45.513081031,107.49,7.98,0.0,10.75,104.72,Apple Pay,completed,control
ORD-00000144,SES-000004207,USR-00005285,2025-02-10,2025-02-10 01:44:26.056579821,221.98,16.48,0.0,22.2,216.26,Apple Pay,completed,control
ORD-00000145,SES-000004231,USR-00029188,2025-02-10,2025-02-10 07:51:32.250608453,289.97,23.92,0.0,0.0,313.89,Klarna,completed,treatment
ORD-00000146,SES-000004238,USR-00008353,2025-02-10,2025-02-10 08:55:56.259336903,341.98,28.21,0.0,0.0,370.19,Credit Card,completed,treatment
ORD-00000147,SES-000004254,USR-00028569,2025-02-10,2025-02-10 12:20:24.029992539,376.47,27.95,0.0,37.65,366.77,Credit Card,completed,control
ORD-00000148,SES-000004256,USR-00024489,2025-02-10,2025-02-10 12:42:51.619146809,275.48,22.73,0.0,0.0,298.21,Credit Card,completed,treatment
ORD-00000149,SES-000004300,USR-00014275,2025-02-10,2025-02-10 20:04:27.423619129,511.97,38.01,0.0,51.2,498.78,Credit Card,completed,treatment
ORD-00000150,SES-000004314,USR-00024851,2025-02-10,2025-02-10 22:05:52.762771106,24.99,2.06,5.99,0.0,33.04,Apple Pay,completed,treatment
ORD-00000151,SES-000004330,USR-00025457,2025-02-11,2025-02-11 00:26:43.402561212,296.97,22.05,0.0,29.7,289.32,Credit Card,completed,control
ORD-00000152,SES-000004341,USR-00007847,2025-02-11,2025-02-11 02:29:54.763693235,55.99,4.62,5.99,0.0,66.6,Credit Card,completed,treatment
ORD-00000153,SES-000004344,USR-00026292,2025-02-11,2025-02-11 02:46:31.946507254,301.48,24.87,0.0,0.0,326.35,Credit Card,completed,control
ORD-00000154,SES-000004351,USR-00010866,2025-02-11,2025-02-11 03:22:13.580350250,298.98,24.67,0.0,0.0,323.65,Credit Card,completed,treatment
ORD-00000155,SES-000004353,USR-00002928,2025-02-11,2025-02-11 03:44:08.663438980,434.48,32.26,0.0,43.45,423.29,Credit Card,completed,treatment
ORD-00000156,SES-000004359,USR-00021684,2025-02-11,2025-02-11 04:26:47.022262660,180.99,14.93,0.0,0.0,195.92,Klarna,completed,treatment
ORD-00000157,SES-000004383,USR-00011339,2025-02-11,2025-02-11 09:02:13.287584823,193.97,14.4,0.0,19.4,188.97,PayPal,completed,control
ORD-00000158,SES-000004394,USR-00003519,2025-02-11,2025-02-11 10:26:17.518203180,44.99,3.71,5.99,0.0,54.69,PayPal,completed,treatment
ORD-00000159,SES-000004414,USR-00018013,2025-02-11,2025-02-11 14:10:04.122998717,37.49,2.78,5.99,3.75,42.51,PayPal,completed,control
ORD-00000160,SES-000004431,USR-00003744,2025-02-11,2025-02-11 16:54:07.978869827,31.99,2.64,5.99,0.0,40.62,Apple Pay,completed,control
ORD-00000161,SES-000004455,USR-00026651,2025-02-11,2025-02-11 22:52:45.326957631,110.99,9.16,0.0,0.0,120.15,PayPal,completed,treatment
ORD-00000162,SES-000004480,USR-00014144,2025-02-12,2025-02-12 04:50:28.695232136,103.98,7.72,0.0,10.4,101.3,Credit Card,completed,treatment
ORD-00000163,SES-000004481,USR-00019140,2025-02-12,2025-02-12 05:00:02.379822575,900.96,74.33,0.0,0.0,975.29,Apple Pay,completed,control
ORD-00000164,SES-000004483,USR-00028804,2025-02-12,2025-02-12 05:05:29.083168927,217.48,16.15,0.0,21.75,211.88,PayPal,completed,control
ORD-00000165,SES-000004496,USR-00013952,2025-02-12,2025-02-12 08:06:02.635467161,113.49,9.36,0.0,0.0,122.85,Klarna,completed,control
ORD-00000166,SES-000004504,USR-00026670,2025-02-12,2025-02-12 09:52:06.249739863,240.47,19.84,0.0,0.0,260.31,Apple Pay,completed,control
ORD-00000167,SES-000004515,USR-00007197,2025-02-12,2025-02-12 12:17:07.033295900,150.98,11.21,0.0,15.1,147.09,Credit Card,completed,treatment
ORD-00000168,SES-000004518,USR-00002201,2025-02-12,2025-02-12 12:52:41.100734267,84.99,7.01,0.0,0.0,92.0,Credit Card,completed,treatment
ORD-00000169,SES-000004524,USR-00007259,2025-02-12,2025-02-12 15:20:19.005712008,145.97,10.84,0.0,14.6,142.21,Credit Card,completed,treatment
ORD-00000170,SES-000004525,USR-00020328,2025-02-12,2025-02-12 15:29:44.299285141,427.48,35.27,0.0,0.0,462.75,PayPal,completed,control
ORD-00000171,SES-000004526,USR-00007191,2025-02-12,2025-02-12 15:44:16.675969559,22.99,1.71,5.99,2.3,28.39,Apple Pay,completed,treatment
ORD-00000172,SES-000004530,USR-00003806,2025-02-12,2025-02-12 16:23:38.924589412,214.99,16.85,0.0,10.75,221.09,Klarna,completed,control
ORD-00000173,SES-000004535,USR-00024428,2025-02-12,2025-02-12 16:58:00.978757379,118.98,8.83,0.0,11.9,115.91,Credit Card,completed,control
ORD-00000174,SES-000004557,USR-00008691,2025-02-12,2025-02-12 21:48:59.125023308,64.99,5.36,5.99,0.0,76.34,Apple Pay,completed,treatment
ORD-00000175,SES-000004601,USR-00000829,2025-02-13,2025-02-13 06:14:08.189654458,344.97,27.04,0.0,17.25,354.76,Apple Pay,completed,control
ORD-00000176,SES-000004612,USR-00019880,2025-02-13,2025-02-13 08:32:14.808902673,677.94,50.34,0.0,67.79,660.49,Apple Pay,completed,treatment
ORD-00000177,SES-000004623,USR-00001201,2025-02-13,2025-02-13 10:37:38.033507831,42.49,3.51,5.99,0.0,51.99,Credit Card,completed,control
