product_id,product_name,category,cost,price,margin_amount,margin_percentage,margin,unit_margin,margin_rate,inventory_count,created_at,total_orders_count,total_units_sold,total_revenue_generated,total_profit_generated,realized_avg_selling_price
PRD-00048,Double-Walled Espresso Glasses 4-Pack,Home & Kitchen,15.830,33.490,17.66,52.73,17.660,17.660,0.5273215885338908,242,2024-12-01,133,160,5358.400,2825.600,33.489999999999995
PRD-00098,Stainless Steel Campfire Mess Kit,Sports & Outdoors,113.090,199.490,86.40,43.31,86.400,86.400,0.43310441626146673,545,2024-12-01,144,179,35708.710,15465.600,199.49
PRD-00028,Essential Cotton Crew Socks 3-Pack,Apparel,45.050,107.490,62.44,58.09,62.440,62.440,0.5808912456972741,165,2024-12-01,135,161,17305.890,10052.840,107.49
PRD-00095,Heavy-Duty Kettlebell 16kg,Sports & Outdoors,100.600,204.990,104.39,50.92,104.390,104.390,0.5092443533830919,267,2024-12-01,129,155,31773.450,16180.450,204.99
PRD-00039,Heavyweight Loopback Sweatshirt,Apparel,18.260,40.990,22.73,55.45,22.730,22.730,0.5545254940229324,619,2024-12-01,136,163,6681.370,3704.990,40.99
PRD-00042,Cast Iron Pre-Seasoned Skillet 10in,Home & Kitchen,52.180,121.990,69.81,57.23,69.810,69.810,0.5722600213132224,250,2024-12-01,152,169,20616.310,11797.890,121.99000000000001
PRD-00072,Gentle Sulfate-Free Body Wash,Beauty & Personal Care,11.800,36.990,25.19,68.1,25.190,25.190,0.6809948634766153,762,2024-12-01,139,170,6288.300,4282.300,36.99
PRD-00036,ComfortFit Lounge Sweatpants,Apparel,30.020,73.990,43.97,59.43,43.970,43.970,0.5942694958778214,207,2024-12-01,138,164,12134.360,7211.080,73.99000000000001
PRD-00060,Silicone Microwave Popcorn Popper,Home & Kitchen,84.750,176.490,91.74,51.98,91.740,91.740,0.5198028216896141,289,2024-12-01,140,168,29650.320,15412.320,176.49
PRD-00007,GlideOptix Wireless Mouse,Electronics,172.800,316.990,144.19,45.49,144.190,144.190,0.45487239345089747,545,2024-12-01,137,164,51986.360,23647.160,316.99
PRD-00050,Heavyweight French Fry Press,Home & Kitchen,93.040,173.990,80.95,46.53,80.950,80.950,0.4652566239439048,624,2024-12-01,168,195,33928.050,15785.250,173.99
PRD-00005,ClarityView 27-inch Monitor,Electronics,47.750,82.990,35.24,42.46,35.240,35.240,0.42462947343053375,552,2024-12-01,139,165,13693.350,5814.600,82.99000000000001
PRD-00038,UV Protection Outdoor Cap,Apparel,36.230,77.490,41.26,53.25,41.260,41.260,0.5324558007484836,490,2024-12-01,144,168,13018.320,6931.680,77.49
PRD-00074,Rejuvenating Rosehip Facial Oil,Beauty & Personal Care,6.200,16.990,10.79,63.51,10.790,10.790,0.6350794585050029,745,2024-12-01,154,179,3041.210,1931.410,16.99
PRD-00089,Waterproof Dry Bag 20L Backpack,Sports & Outdoors,18.140,31.990,13.85,43.29,13.850,13.850,0.4329477961863082,655,2024-12-01,146,176,5630.240,2437.600,31.99
PRD-00066,Calming Lavender Night Repair Cream,Beauty & Personal Care,33.730,84.990,51.26,60.31,51.260,51.260,0.6031297799741147,425,2024-12-01,150,178,15128.220,9124.280,84.99
PRD-00015,PulseFit Smart Fitness Tracker,Electronics,123.350,205.990,82.64,40.12,82.640,82.640,0.4011845235205593,393,2024-12-01,132,159,32752.410,13139.760,205.99
PRD-00002,ProStream HD Webcam,Electronics,113.880,203.990,90.11,44.17,90.110,90.110,0.44173734006568954,545,2024-12-01,118,137,27946.630,12345.070,203.99
PRD-00020,SafeShield USB-C Security Key,Electronics,147.220,271.990,124.77,45.87,124.770,124.770,0.4587301003713372,435,2024-12-01,136,168,45694.320,20961.360,271.99
PRD-00054,Non-Stick Ceramic Baking Sheet Set,Home & Kitchen,68.350,137.990,69.64,50.47,69.640,69.640,0.5046742517573738,504,2024-12-01,127,145,20008.550,10097.800,137.99
PRD-00063,Nourishing Argan Oil Hair Mask,Beauty & Personal Care,27.760,70.490,42.73,60.62,42.730,42.730,0.6061852745070222,511,2024-12-01,122,138,9727.620,5896.740,70.49000000000001
PRD-00086,Fast-Drying Microfiber Gym Towel,Sports & Outdoors,72.940,140.990,68.05,48.27,68.050,68.050,0.48265834456344425,812,2024-12-01,145,174,24532.260,11840.700,140.98999999999998
PRD-00030,Thermal Ribbed Beanie,Apparel,29.210,67.990,38.78,57.04,38.780,38.780,0.57037799676423,820,2024-12-01,121,148,10062.520,5739.440,67.99000000000001
PRD-00100,Thermal Insulated Ski Gloves,Sports & Outdoors,66.170,143.990,77.82,54.05,77.820,77.820,0.540454198208209,550,2024-12-01,118,141,20302.590,10972.620,143.99
PRD-00069,Volumizing Biotin Hair Shampoo,Beauty & Personal Care,14.600,51.990,37.39,71.92,37.390,37.390,0.7191767647624543,839,2024-12-01,145,171,8890.290,6393.690,51.99
PRD-00035,StormProof Rain Shell,Apparel,39.040,100.990,61.95,61.34,61.950,61.950,0.6134270719873255,195,2024-12-01,121,141,14239.590,8734.950,100.99
PRD-00049,Bamboo Cutting Board with Juice Groove,Home & Kitchen,86.220,162.990,76.77,47.1,76.770,76.770,0.4710104914411927,162,2024-12-01,136,160,26078.400,12283.200,162.99
PRD-00058,Compact Multi-Blade Spiralizer,Home & Kitchen,69.500,152.990,83.49,54.57,83.490,83.490,0.5457219426106281,556,2024-12-01,122,150,22948.500,12523.500,152.99
PRD-00021,Classic Merino Wool Crewneck,Apparel,46.300,114.990,68.69,59.74,68.690,68.690,0.5973562918514653,842,2024-12-01,127,150,17248.500,10303.500,114.99
PRD-00067,Peptide Firming Eye Complex,Beauty & Personal Care,16.410,44.990,28.58,63.53,28.580,28.580,0.6352522782840632,729,2024-12-01,125,150,6748.500,4287.000,44.99
PRD-00031,Packable Windbreaker Jacket,Apparel,51.160,110.990,59.83,53.91,59.830,59.830,0.5390575727543022,442,2024-12-01,150,172,19090.280,10290.760,110.99
PRD-00083,Insulated Hydro Canteen 32oz,Sports & Outdoors,58.280,115.990,57.71,49.75,57.710,57.710,0.4975428916285886,847,2024-12-01,136,153,17746.470,8829.630,115.99000000000001
PRD-00078,Brightening Niacinamide Concentrate,Beauty & Personal Care,9.370,25.990,16.62,63.95,16.620,16.620,0.6394767218160831,277,2024-12-01,137,162,4210.380,2692.440,25.990000000000002
PRD-00059,Stoneware Dinnerware Set 16-Piece,Home & Kitchen,23.540,47.490,23.95,50.43,23.950,23.950,0.5043166982522637,441,2024-12-01,121,147,6981.030,3520.650,47.489999999999995
PRD-00085,Compact Inflatable Camping Pillow,Sports & Outdoors,56.370,105.990,49.62,46.82,49.620,49.620,0.4681573733371073,801,2024-12-01,148,173,18336.270,8584.260,105.99000000000001
PRD-00076,Clarifying Salicylic Acid Spot Treatment,Beauty & Personal Care,25.510,62.990,37.48,59.5,37.480,37.480,0.5950150817590094,180,2024-12-01,133,149,9385.510,5584.520,62.99
PRD-00037,Lightweight Linen Summer Shirt,Apparel,15.180,41.990,26.81,63.85,26.810,26.810,0.6384853536556323,343,2024-12-01,144,161,6760.390,4316.410,41.99
PRD-00051,Digital Instant-Read Meat Thermometer,Home & Kitchen,21.940,52.990,31.05,58.6,31.050,31.050,0.5859596150217022,828,2024-12-01,146,171,9061.290,5309.550,52.99
PRD-00018,ThermoGuard Smart Thermostat,Electronics,37.970,72.990,35.02,47.98,35.020,35.020,0.4797917522948349,300,2024-12-01,153,181,13211.190,6338.620,72.99000000000001
PRD-00019,ProGamer Wired Headset,Electronics,208.970,339.990,131.02,38.54,131.020,131.020,0.3853642754198653,343,2024-12-01,117,138,46918.620,18080.760,339.99
PRD-00080,Aromatherapy Shower Steamers 6-Pack,Beauty & Personal Care,32.750,87.990,55.24,62.78,55.240,55.240,0.6277986134788044,315,2024-12-01,137,160,14078.400,8838.400,87.99
PRD-00079,Restorative Collagen Hand Cream,Beauty & Personal Care,15.840,46.490,30.65,65.93,30.650,30.650,0.6592815659281566,772,2024-12-01,142,170,7903.300,5210.500,46.49
PRD-00057,Automatic Electric Salt & Pepper Grinders,Home & Kitchen,75.560,146.490,70.93,48.42,70.930,70.930,0.484196873506724,686,2024-12-01,129,156,22852.440,11065.080,146.48999999999998
PRD-00033,Seamless Workout Leggings,Apparel,11.510,27.990,16.48,58.88,16.480,16.480,0.5887817077527687,476,2024-12-01,137,157,4394.430,2587.360,27.990000000000002
PRD-00097,Quick-Pitch 2-Person Backpacking Tent,Sports & Outdoors,87.540,167.490,79.95,47.73,79.950,79.950,0.477341930861544,240,2024-12-01,143,167,27970.830,13351.650,167.49
PRD-00081,ProGrip High-Density Yoga Mat,Sports & Outdoors,39.190,77.990,38.80,49.75,38.800,38.800,0.4974996794460828,461,2024-12-01,161,185,14428.150,7178.000,77.99
PRD-00065,Botanical Gentle Face Exfoliator,Beauty & Personal Care,5.840,24.990,19.15,76.63,19.150,19.150,0.7663065226090436,712,2024-12-01,127,141,3523.590,2700.150,24.990000000000002
PRD-00044,Cold Brew Glass Carafe 1.5L,Home & Kitchen,36.230,72.990,36.76,50.36,36.760,36.760,0.5036306343334703,159,2024-12-01,154,189,13795.110,6947.640,72.99000000000001
PRD-00061,Hyaluronic Acid Deep Hydration Serum,Beauty & Personal Care,20.120,75.990,55.87,73.52,55.870,55.870,0.7352283195157256,450,2024-12-01,132,152,11550.480,8492.240,75.99
PRD-00010,AuraRGB LED Desk Lamp,Electronics,120.070,207.990,87.92,42.27,87.920,87.920,0.42271263041492385,541,2024-12-01,135,161,33486.390,14155.120,207.99
PRD-00003,OmniCharge 65W GaN Charger,Electronics,212.610,350.490,137.88,39.34,137.880,137.880,0.3933921081913892,205,2024-12-01,133,162,56779.380,22336.560,350.49
PRD-00082,Heavy-Duty Resistance Bands 5-Pack,Sports & Outdoors,68.210,151.490,83.28,54.97,83.280,83.280,0.549739256716615,697,2024-12-01,142,172,26056.280,14324.160,151.48999999999998
PRD-00013,SmartHome Mini Hub,Electronics,176.160,275.990,99.83,36.17,99.830,99.830,0.3617160042030509,571,2024-12-01,140,166,45814.340,16571.780,275.98999999999995
PRD-00040,Merino Wool Blend Scarf,Apparel,45.240,98.990,53.75,54.3,53.750,53.750,0.5429841398121021,493,2024-12-01,130,158,15640.420,8492.500,98.99
PRD-00022,Everyday Flex Chino Pant,Apparel,20.520,49.990,29.47,58.95,29.470,29.470,0.5895179035807162,556,2024-12-01,138,168,8398.320,4950.960,49.989999999999995
PRD-00053,Under-Cabinet LED Strip Lighting,Home & Kitchen,23.380,47.990,24.61,51.28,24.610,24.610,0.5128151698270473,357,2024-12-01,148,169,8110.310,4159.090,47.99
PRD-00004,SoundSphere Bluetooth Speaker,Electronics,168.070,294.490,126.42,42.93,126.420,126.420,0.4292845257903495,685,2024-12-01,140,165,48590.850,20859.300,294.49
PRD-00011,NanoLite Noise-Cancelling Earbuds,Electronics,102.310,179.990,77.68,43.16,77.680,77.680,0.43157953219623313,706,2024-12-01,151,181,32578.190,14060.080,179.98999999999998
PRD-00029,Urban Active Jogger Pants,Apparel,33.630,94.490,60.86,64.41,60.860,60.860,0.6440893216213356,256,2024-12-01,139,153,14456.970,9311.580,94.49
PRD-00090,Adjustable Dumbbell Set 5-25lbs,Sports & Outdoors,113.860,232.990,119.13,51.13,119.130,119.130,0.511309498261728,563,2024-12-01,148,188,43802.120,22396.440,232.99
PRD-00006,KeyCraft Mechanical Keyboard,Electronics,223.930,391.990,168.06,42.87,168.060,168.060,0.4287354269241562,594,2024-12-01,117,140,54878.600,23528.400,391.99
PRD-00017,VividCapture 4K Capture Card,Electronics,144.790,244.990,100.20,40.9,100.200,100.200,0.4089962855626761,837,2024-12-01,131,155,37973.450,15531.000,244.98999999999998
PRD-00070,Silk Smooth Moisturizing Body Butter,Beauty & Personal Care,25.310,64.990,39.68,61.06,39.680,39.680,0.6105554700723188,503,2024-12-01,134,161,10463.390,6388.480,64.99
PRD-00093,TrailReady 500-Lumen Headlamp,Sports & Outdoors,111.710,227.990,116.28,51.0,116.280,116.280,0.5100223694021668,514,2024-12-01,154,178,40582.220,20697.840,227.99
PRD-00073,Overnight Barrier Repair Balm,Beauty & Personal Care,28.100,84.490,56.39,66.74,56.390,56.390,0.6674162622795596,704,2024-12-01,129,152,12842.480,8571.280,84.49
PRD-00055,UltraSoft Bamboo Cotton Towel Set,Home & Kitchen,31.610,74.990,43.38,57.85,43.380,43.380,0.5784771302840378,799,2024-12-01,145,174,13048.260,7548.120,74.99
PRD-00001,AeroPulse Wireless Headphones,Electronics,176.630,320.990,144.36,44.97,144.360,144.360,0.4497336365618867,748,2024-12-01,124,143,45901.570,20643.480,320.99
PRD-00071,Antioxidant Green Tea Facial Toner,Beauty & Personal Care,31.300,86.990,55.69,64.02,55.690,55.690,0.6401885274169445,665,2024-12-01,148,171,14875.290,9522.990,86.99000000000001
PRD-00068,Detoxifying Charcoal Clay Mask,Beauty & Personal Care,12.610,37.490,24.88,66.36,24.880,24.880,0.6636436383035477,372,2024-12-01,130,158,5923.420,3931.040,37.49
PRD-00046,AromaMist Essential Oil Diffuser,Home & Kitchen,52.530,113.490,60.96,53.71,60.960,60.960,0.5371398361089083,310,2024-12-01,156,175,19860.750,10668.000,113.49
PRD-00009,HyperDrive 1TB Portable SSD,Electronics,52.510,94.990,42.48,44.72,42.480,42.480,0.4472049689440994,213,2024-12-01,141,171,16243.290,7264.080,94.99000000000001
PRD-00016,EchoWave Conference Speakerphone,Electronics,78.720,129.990,51.27,39.44,51.270,51.270,0.3944149549965382,455,2024-12-01,141,165,21448.350,8459.550,129.98999999999998
PRD-00025,All-Season Denim Jacket,Apparel,23.350,55.990,32.64,58.3,32.640,32.640,0.5829612430791212,578,2024-12-01,131,154,8622.460,5026.560,55.989999999999995
PRD-00043,Stainless Steel Mixing Bowl Set,Home & Kitchen,49.950,105.990,56.04,52.87,56.040,56.040,0.5287291253891876,804,2024-12-01,145,175,18548.250,9807.000,105.99
PRD-00032,Heritage Canvas Weekender Bag,Apparel,17.540,42.490,24.95,58.72,24.950,24.950,0.5871969875264769,487,2024-12-01,147,186,7903.140,4640.700,42.49
PRD-00075,Hydrating Coconut Lip Polish Set,Beauty & Personal Care,20.250,56.990,36.74,64.47,36.740,36.740,0.6446745042989999,525,2024-12-01,126,146,8320.540,5364.040,56.99000000000001
PRD-00024,Breathable Mesh Running Tee,Apparel,26.280,54.990,28.71,52.21,28.710,28.710,0.5220949263502455,392,2024-12-01,136,161,8853.390,4622.310,54.989999999999995
PRD-00008,PowerVault 20000mAh PowerBank,Electronics,186.160,325.990,139.83,42.89,139.830,139.830,0.42893953802263873,537,2024-12-01,132,161,52484.390,22512.630,325.99
PRD-00047,Silicone Cooking Utensil 8-Piece Set,Home & Kitchen,42.270,100.990,58.72,58.14,58.720,58.720,0.5814437072977522,345,2024-12-01,142,176,17774.240,10334.720,100.99000000000001
PRD-00041,Precision Pour-Over Coffee Kettle,Home & Kitchen,84.810,180.990,96.18,53.14,96.180,96.180,0.5314105751698989,453,2024-12-01,145,163,29501.370,15677.340,180.98999999999998
PRD-00087,Speed Jump Rope with Ball Bearings,Sports & Outdoors,24.100,43.990,19.89,45.21,19.890,19.890,0.4521482155035235,213,2024-12-01,129,153,6730.470,3043.170,43.99
PRD-00096,GripTech Weightlifting Gloves,Sports & Outdoors,116.570,199.990,83.42,41.71,83.420,83.420,0.4171208560428022,269,2024-12-01,111,133,26598.670,11094.860,199.98999999999998
PRD-00077,Mineral Rich Bath Soak Salts,Beauty & Personal Care,8.270,22.990,14.72,64.03,14.720,14.720,0.6402783819051762,495,2024-12-01,157,190,4368.100,2796.800,22.990000000000002
PRD-00092,Portable Aluminum Camping Chair,Sports & Outdoors,101.720,214.990,113.27,52.69,113.270,113.270,0.5268617144983487,216,2024-12-01,138,165,35473.350,18689.550,214.98999999999998
PRD-00052,Vacuum Insulated Travel Tumbler 20oz,Home & Kitchen,48.710,118.490,69.78,58.89,69.780,69.780,0.5889104565786143,235,2024-12-01,136,170,20143.300,11862.600,118.49
