session_id,user_id,session_start,session_end,session_date,session_duration_seconds,device_type,traffic_source,country,customer_segment,ab_variant,is_returning_user,has_landing_page,has_product_view,has_add_to_cart,has_checkout_started,has_payment_started,has_purchase,reached_landing_page,reached_product_view,reached_add_to_cart,reached_checkout_started,reached_payment_started,reached_purchase,furthest_step_reached,funnel_stage_order,funnel_stage_reached,total_events_count,order_id,order_revenue,is_converting_session
SES-000061505,USR-00016629,2025-10-10 03:27:07,2025-10-10 03:30:43.124893,2025-10-10,216,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005314,230.880,1
SES-000061530,USR-00013955,2025-10-10 04:57:38,2025-10-10 05:01:04.373219,2025-10-10,206,Mobile,Direct,DE,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005320,85.720,1
SES-000061771,USR-00001192,2025-10-10 18:31:25,2025-10-10 18:34:27.63999,2025-10-10,182,Desktop,Direct,UK,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005345,298.760,1
SES-000061835,USR-00002501,2025-10-10 22:53:14,2025-10-10 22:56:26.271926,2025-10-10,192,Desktop,Social,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005353,59.560,1
SES-000062008,USR-00017898,2025-10-11 08:29:13,2025-10-11 08:33:06.978679,2025-10-11,233,Desktop,Email,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005367,130.530,1
SES-000062666,USR-00014928,2025-10-12 19:49:08,2025-10-12 19:52:22.000387,2025-10-12,194,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005447,97.880,1
SES-000062999,USR-00029101,2025-10-13 14:51:10,2025-10-13 14:53:01.243916,2025-10-13,111,Desktop,Email,UK,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005488,320.010,1
SES-000063090,USR-00007691,2025-10-13 20:20:09,2025-10-13 20:23:04.475495,2025-10-13,175,Desktop,Email,DE,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005497,24.380,1
SES-000063768,USR-00007135,2025-10-15 10:18:05,2025-10-15 10:20:55.110635,2025-10-15,170,Tablet,Social,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005572,148.280,1
SES-000064201,USR-00020002,2025-10-16 11:34:10,2025-10-16 11:38:16.48106,2025-10-16,246,Desktop,Direct,UK,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005619,149.370,1
SES-000064231,USR-00006921,2025-10-16 13:51:24,2025-10-16 13:56:31.924466,2025-10-16,307,Desktop,Organic Search,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005620,304.920,1
SES-000064304,USR-00008881,2025-10-16 17:28:37,2025-10-16 17:33:14.691493,2025-10-16,277,Tablet,Email,UK,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005624,163.180,1
SES-000064824,USR-00003242,2025-10-17 23:56:41,2025-10-17 23:59:48.355284,2025-10-17,187,Desktop,Direct,FR,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005682,740.400,1
SES-000065144,USR-00005164,2025-10-18 17:28:51,2025-10-18 17:32:14.306023,2025-10-18,203,Tablet,Direct,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005716,152.620,1
SES-000065387,USR-00019512,2025-10-19 06:57:14,2025-10-19 07:02:27.063576,2025-10-19,313,Desktop,Organic Search,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005746,125.560,1
SES-000065478,USR-00024332,2025-10-19 11:47:01,2025-10-19 11:51:21.762846,2025-10-19,260,Desktop,Referral,CA,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005760,308.830,1
SES-000065675,USR-00007737,2025-10-19 22:47:01,2025-10-19 22:50:24.568867,2025-10-19,203,Mobile,Paid Search,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005782,686.280,1
SES-000065734,USR-00007681,2025-10-20 02:20:30,2025-10-20 02:24:13.811125,2025-10-20,223,Desktop,Organic Search,CA,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005788,303.080,1
SES-000065947,USR-00013846,2025-10-20 15:13:39,2025-10-20 15:18:50.464198,2025-10-20,311,Desktop,Paid Search,US,VIP,treatment,false,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005806,82.310,1
SES-000066256,USR-00024682,2025-10-21 08:09:04,2025-10-21 08:11:34.495014,2025-10-21,150,Desktop,Direct,DE,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005837,60.540,1
SES-000066367,USR-00017700,2025-10-21 14:17:33,2025-10-21 14:21:00.655211,2025-10-21,207,Tablet,Organic Search,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005851,122.850,1
SES-000066457,USR-00006624,2025-10-21 19:23:39,2025-10-21 19:26:07.790542,2025-10-21,148,Desktop,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005869,394.530,1
SES-000066479,USR-00023555,2025-10-21 20:28:21,2025-10-21 20:34:04.298671,2025-10-21,343,Desktop,Direct,DE,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005871,207.490,1
SES-000066497,USR-00022412,2025-10-21 21:25:04,2025-10-21 21:28:28.51253,2025-10-21,204,Mobile,Social,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005877,229.480,1
SES-000066678,USR-00000404,2025-10-22 06:06:25,2025-10-22 06:10:04.262447,2025-10-22,219,Desktop,Direct,DE,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005904,437.850,1
SES-000066830,USR-00004287,2025-10-22 12:23:15,2025-10-22 12:24:45.653682,2025-10-22,90,Desktop,Organic Search,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005922,137.350,1
SES-000067555,USR-00006642,2025-10-24 03:08:15,2025-10-24 03:11:45.011743,2025-10-24,210,Desktop,Email,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005983,350.710,1
SES-000067736,USR-00021008,2025-10-24 13:12:07,2025-10-24 13:13:45.443281,2025-10-24,98,Desktop,Organic Search,DE,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00005994,92.540,1
SES-000067950,USR-00009589,2025-10-24 23:58:41,2025-10-25 00:02:24.497357,2025-10-24,223,Mobile,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006018,54.690,1
SES-000067959,USR-00019050,2025-10-25 00:28:19,2025-10-25 00:30:42.808324,2025-10-25,143,Mobile,Organic Search,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006019,48.850,1
SES-000068159,USR-00020111,2025-10-25 09:50:43,2025-10-25 09:55:16.585203,2025-10-25,273,Desktop,Organic Search,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006042,460.030,1
SES-000068322,USR-00020185,2025-10-25 18:46:37,2025-10-25 18:50:45.149212,2025-10-25,248,Mobile,Direct,FR,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006062,146.600,1
SES-000068717,USR-00003800,2025-10-26 13:30:27,2025-10-26 13:33:33.460748,2025-10-26,186,Tablet,Direct,CA,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006098,86.070,1
SES-000068734,USR-00010214,2025-10-26 14:14:12,2025-10-26 14:17:11.212224,2025-10-26,179,Tablet,Organic Search,FR,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006101,82.800,1
SES-000069097,USR-00026296,2025-10-27 10:08:23,2025-10-27 10:11:13.951542,2025-10-27,170,Desktop,Organic Search,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006137,244.490,1
SES-000069601,USR-00006037,2025-10-28 10:31:39,2025-10-28 10:34:38.606179,2025-10-28,179,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006201,331.230,1
SES-000069654,USR-00013335,2025-10-28 13:11:44,2025-10-28 13:14:09.961474,2025-10-28,145,Mobile,Direct,DE,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006208,142.720,1
SES-000069695,USR-00029234,2025-10-28 15:21:55,2025-10-28 15:25:52.686407,2025-10-28,237,Desktop,Direct,UK,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006213,520.700,1
SES-000069809,USR-00019347,2025-10-28 21:24:09,2025-10-28 21:29:03.80901,2025-10-28,294,Mobile,Organic Search,UK,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006229,318.790,1
SES-000069825,USR-00028136,2025-10-28 22:04:19,2025-10-28 22:06:26.754673,2025-10-28,127,Mobile,Email,AU,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006232,143.670,1
SES-000069900,USR-00007537,2025-10-29 01:50:36,2025-10-29 01:52:41.636692,2025-10-29,125,Tablet,Organic Search,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006238,333.160,1
SES-000070379,USR-00026873,2025-10-30 02:01:58,2025-10-30 02:05:10.469745,2025-10-30,192,Desktop,Organic Search,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006294,75.980,1
SES-000070969,USR-00014563,2025-10-31 07:53:34,2025-10-31 07:56:00.244411,2025-10-31,146,Desktop,Organic Search,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006366,199.710,1
SES-000071351,USR-00006031,2025-11-01 04:03:34,2025-11-01 04:06:30.673983,2025-11-01,176,Desktop,Email,UK,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006405,393.460,1
SES-000071471,USR-00012913,2025-11-01 10:16:02,2025-11-01 10:19:11.038552,2025-11-01,189,Mobile,Email,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006417,409.250,1
SES-000071493,USR-00015102,2025-11-01 11:23:36,2025-11-01 11:27:08.498056,2025-11-01,212,Desktop,Direct,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006420,317.150,1
SES-000071583,USR-00021522,2025-11-01 16:30:47,2025-11-01 16:33:57.181839,2025-11-01,190,Tablet,Email,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006426,85.000,1
SES-000072434,USR-00013113,2025-11-03 10:25:41,2025-11-03 10:28:42.10418,2025-11-03,181,Mobile,Email,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006513,92.060,1
SES-000072473,USR-00007284,2025-11-03 12:27:10,2025-11-03 12:30:58.762774,2025-11-03,228,Desktop,Direct,CA,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006518,102.270,1
SES-000072488,USR-00008657,2025-11-03 13:14:28,2025-11-03 13:17:19.728088,2025-11-03,171,Mobile,Email,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006521,52.260,1
SES-000072808,USR-00025092,2025-11-04 05:56:07,2025-11-04 05:58:49.634779,2025-11-04,162,Mobile,Paid Search,UK,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006563,586.140,1
SES-000073280,USR-00025439,2025-11-05 04:36:22,2025-11-05 04:40:02.203883,2025-11-05,220,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006626,74.660,1
SES-000073419,USR-00017766,2025-11-05 11:00:13,2025-11-05 11:03:45.902141,2025-11-05,212,Desktop,Email,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006641,92.540,1
SES-000073590,USR-00013460,2025-11-05 19:28:17,2025-11-05 19:31:53.696345,2025-11-05,216,Desktop,Paid Search,DE,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006656,52.260,1
SES-000073811,USR-00001007,2025-11-06 05:46:27,2025-11-06 05:50:40.643857,2025-11-06,253,Desktop,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006684,37.160,1
SES-000073836,USR-00019494,2025-11-06 06:51:54,2025-11-06 06:54:43.192015,2025-11-06,169,Mobile,Organic Search,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006687,96.440,1
SES-000073945,USR-00020642,2025-11-06 12:21:42,2025-11-06 12:24:14.799294,2025-11-06,152,Mobile,Email,US,Bargain,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006693,298.760,1
SES-000074137,USR-00011137,2025-11-06 21:45:48,2025-11-06 21:50:35.574875,2025-11-06,287,Desktop,Email,UK,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006712,82.310,1
SES-000074188,USR-00007645,2025-11-06 23:41:39,2025-11-06 23:46:30.455618,2025-11-06,291,Tablet,Organic Search,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006715,85.720,1
SES-000074286,USR-00007200,2025-11-07 04:50:26,2025-11-07 04:53:04.196259,2025-11-07,158,Tablet,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006733,308.830,1
SES-000074464,USR-00011045,2025-11-07 14:18:34,2025-11-07 14:22:50.253432,2025-11-07,256,Desktop,Paid Search,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006752,51.280,1
SES-000074664,USR-00019523,2025-11-08 00:48:56,2025-11-08 00:51:52.04047,2025-11-08,176,Desktop,Direct,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006776,47.380,1
SES-000074824,USR-00025439,2025-11-08 09:15:50,2025-11-08 09:20:45.690719,2025-11-08,295,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006799,169.510,1
SES-000074883,USR-00008729,2025-11-08 11:31:01,2025-11-08 11:33:39.489695,2025-11-08,158,Desktop,Email,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006806,194.840,1
SES-000075253,USR-00021619,2025-11-09 04:29:56,2025-11-09 04:32:51.614612,2025-11-09,175,Tablet,Organic Search,UK,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00006847,246.800,1
SES-000076756,USR-00016599,2025-11-11 23:06:10,2025-11-11 23:09:06.28292,2025-11-11,176,Desktop,Email,CA,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007038,329.290,1
SES-000076763,USR-00013234,2025-11-11 23:25:21,2025-11-11 23:28:00.825793,2025-11-11,159,Mobile,Organic Search,UK,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007039,81.740,1
SES-000076831,USR-00020309,2025-11-12 02:03:18,2025-11-12 02:07:46.028743,2025-11-12,268,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007045,381.900,1
SES-000077194,USR-00022653,2025-11-12 20:07:42,2025-11-12 20:11:50.480684,2025-11-12,248,Mobile,Direct,CA,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007079,246.800,1
SES-000077312,USR-00006104,2025-11-13 01:12:45,2025-11-13 01:16:38.644748,2025-11-13,233,Desktop,Email,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007093,155.870,1
SES-000077700,USR-00006792,2025-11-13 18:24:39,2025-11-13 18:28:09.837711,2025-11-13,210,Desktop,Organic Search,CA,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007138,352.880,1
SES-000077782,USR-00027225,2025-11-13 21:30:34,2025-11-13 21:32:58.753481,2025-11-13,144,Tablet,Direct,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007151,405.390,1
SES-000078032,USR-00025877,2025-11-14 09:10:43,2025-11-14 09:13:53.28262,2025-11-14,190,Desktop,Paid Search,DE,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007173,313.350,1
SES-000078144,USR-00001160,2025-11-14 13:34:51,2025-11-14 13:38:30.425152,2025-11-14,219,Desktop,Email,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007179,233.800,1
SES-000078473,USR-00024897,2025-11-15 03:50:13,2025-11-15 03:54:24.852226,2025-11-15,251,Desktop,Email,CA,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007215,206.520,1
SES-000078573,USR-00020044,2025-11-15 08:03:33,2025-11-15 08:06:16.123311,2025-11-15,163,Desktop,Direct,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007224,50.360,1
SES-000078678,USR-00022030,2025-11-15 13:00:24,2025-11-15 13:03:43.807059,2025-11-15,199,Mobile,Organic Search,CA,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007234,34.120,1
SES-000078772,USR-00009837,2025-11-15 16:47:37,2025-11-15 16:50:43.72938,2025-11-15,186,Desktop,Email,FR,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007247,225.150,1
SES-000078920,USR-00009270,2025-11-15 23:51:52,2025-11-15 23:54:40.787373,2025-11-15,168,Mobile,Organic Search,FR,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007260,387.730,1
SES-000078973,USR-00028462,2025-11-16 02:16:12,2025-11-16 02:19:49.349267,2025-11-16,217,Desktop,Paid Search,US,VIP,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007263,92.060,1
SES-000079300,USR-00022720,2025-11-16 16:21:53,2025-11-16 16:24:32.713709,2025-11-16,159,Desktop,Direct,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007293,87.170,1
SES-000079599,USR-00029808,2025-11-17 05:02:59,2025-11-17 05:07:06.14565,2025-11-17,247,Tablet,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007326,169.500,1
SES-000079625,USR-00026642,2025-11-17 06:05:04,2025-11-17 06:08:30.411825,2025-11-17,206,Mobile,Email,CA,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007328,103.860,1
SES-000079703,USR-00001287,2025-11-17 09:48:19,2025-11-17 09:53:46.300336,2025-11-17,327,Mobile,Organic Search,UK,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007337,74.660,1
SES-000080011,USR-00005778,2025-11-18 01:11:15,2025-11-18 01:15:08.353733,2025-11-18,233,Mobile,Direct,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007386,37.160,1
SES-000080028,USR-00004717,2025-11-18 01:55:17,2025-11-18 01:58:14.821046,2025-11-18,177,Mobile,Email,US,VIP,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007389,80.850,1
SES-000080420,USR-00017684,2025-11-18 22:03:55,2025-11-18 22:07:03.409795,2025-11-18,188,Desktop,Direct,US,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007439,114.730,1
SES-000080583,USR-00006222,2025-11-19 07:16:51,2025-11-19 07:23:06.755102,2025-11-19,375,Desktop,Email,UK,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007462,396.170,1
SES-000080715,USR-00005044,2025-11-19 13:06:49,2025-11-19 13:10:01.166001,2025-11-19,192,Mobile,Direct,CA,Regular,treatment,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007479,528.780,1
SES-000080920,USR-00017113,2025-11-19 23:30:37,2025-11-19 23:34:28.548834,2025-11-19,231,Mobile,Email,US,Regular,control,true,true,true,true,true,true,true,1,1,1,1,1,1,6,6,6_purchase,6,ORD-00007509,75.250,1
