order_id,session_id,user_id,order_timestamp,order_date,status,subtotal,subtotal_amount,shipping_fee,shipping_amount,tax_amount,discount_amount,total_amount,payment_method,ab_variant,item_count,total_items_count,distinct_products_count,total_cost,total_cogs,gross_margin_amount,gross_profit,margin_rate,primary_product_category,user_order_sequence,is_first_order,is_repeat_order,days_since_prior_order,days_since_user_signup,device_type,traffic_source,country,customer_segment
ORD-00000078,SES-000002483,USR-00019997,2025-01-25 17:17:22.080359,2025-01-25,completed,109.980,109.980,0.000,0.000,8.170,11.000,107.150,Credit Card,control,2,2,1,52.560,52.560,57.420,57.420,0.5220949263502455,Apparel,1,true,false,,0,Mobile,Organic Search,US,VIP
ORD-00000079,SES-000002530,USR-00007557,2025-01-26 06:21:32.03001,2025-01-26,completed,50.990,50.990,5.990,5.990,4.000,2.550,58.430,PayPal,treatment,1,1,1,27.570,27.570,23.420,23.420,0.45930574622474996,Sports & Outdoors,1,true,false,,0,Mobile,Email,US,Regular
ORD-00000080,SES-000002577,USR-00022688,2025-01-26 16:51:59.61402,2025-01-26,completed,372.480,372.480,0.000,0.000,30.730,0.000,403.210,Credit Card,control,2,2,2,202.000,202.000,170.480,170.480,0.45768900343642605,Electronics,1,true,false,,8,Mobile,Email,US,Regular
ORD-00000081,SES-000002592,USR-00029928,2025-01-26 20:29:22.108849,2025-01-26,completed,83.490,83.490,0.000,0.000,6.200,8.350,81.340,Credit Card,treatment,1,1,1,36.380,36.380,47.110,47.110,0.5642591927176908,Home & Kitchen,1,true,false,,21,Desktop,Direct,CA,VIP
ORD-00000082,SES-000002594,USR-00002041,2025-01-26 20:50:22.577967,2025-01-26,completed,46.490,46.490,5.990,5.990,3.840,0.000,56.320,PayPal,treatment,1,1,1,15.840,15.840,30.650,30.650,0.6592815659281566,Beauty & Personal Care,1,true,false,,0,Tablet,Organic Search,US,Regular
ORD-00000083,SES-000002610,USR-00017053,2025-01-27 00:30:39.66942,2025-01-27,completed,155.480,155.480,0.000,0.000,12.830,0.000,168.310,PayPal,treatment,2,2,2,67.710,67.710,87.770,87.770,0.5645099048109081,Home & Kitchen,1,true,false,,0,Mobile,Organic Search,US,Bargain
ORD-00000084,SES-000002612,USR-00027699,2025-01-27 00:47:18.858278,2025-01-27,completed,55.990,55.990,5.990,5.990,4.390,2.800,63.570,Apple Pay,treatment,1,1,1,23.350,23.350,32.640,32.640,0.5829612430791212,Apparel,1,true,false,,22,Tablet,Direct,CA,Regular
ORD-00000085,SES-000002615,USR-00015675,2025-01-27 01:00:19.977293,2025-01-27,completed,113.490,113.490,0.000,0.000,8.430,11.350,110.570,Credit Card,control,1,1,1,52.530,52.530,60.960,60.960,0.5371398361089083,Home & Kitchen,1,true,false,,19,Mobile,Organic Search,US,VIP
ORD-00000086,SES-000002676,USR-00021418,2025-01-27 16:27:25.171056,2025-01-27,completed,135.490,135.490,0.000,0.000,10.060,13.550,132.000,Credit Card,control,1,1,1,71.030,71.030,64.460,64.460,0.47575466824119855,Home & Kitchen,1,true,false,,0,Desktop,Email,UK,VIP
ORD-00000087,SES-000002684,USR-00000113,2025-01-27 18:02:19.360995,2025-01-27,completed,104.980,104.980,0.000,0.000,7.790,10.500,102.270,Apple Pay,control,2,2,2,51.810,51.810,53.170,53.170,0.5064774242712897,Sports & Outdoors,1,true,false,,19,Desktop,Paid Search,US,VIP
ORD-00000088,SES-000002689,USR-00013962,2025-01-27 19:00:56.903688,2025-01-27,completed,42.990,42.990,5.990,5.990,3.370,2.150,50.200,Credit Card,treatment,1,1,1,22.680,22.680,20.310,20.310,0.47243545010467547,Sports & Outdoors,1,true,false,,9,Desktop,Social,CA,Regular
ORD-00000089,SES-000002748,USR-00018807,2025-01-28 06:23:52.757624,2025-01-28,completed,244.990,244.990,0.000,0.000,20.210,0.000,265.200,PayPal,treatment,1,1,1,144.790,144.790,100.200,100.200,0.40899628556267603,Electronics,1,true,false,,0,Desktop,Direct,FR,Regular
ORD-00000090,SES-000002751,USR-00011753,2025-01-28 07:12:34.964776,2025-01-28,completed,214.480,214.480,0.000,0.000,17.690,0.000,232.170,Apple Pay,control,2,2,2,94.800,94.800,119.680,119.680,0.5580007459903021,Home & Kitchen,1,true,false,,0,Desktop,Email,US,Bargain
ORD-00000091,SES-000002756,USR-00013292,2025-01-28 07:52:51.405765,2025-01-28,completed,348.480,348.480,0.000,0.000,25.870,34.850,339.500,Credit Card,control,2,2,2,172.350,172.350,176.130,176.130,0.5054235537190083,Sports & Outdoors,2,false,true,27,27,Desktop,Email,US,VIP
ORD-00000092,SES-000002776,USR-00002834,2025-01-28 13:45:07.97076,2025-01-28,completed,43.990,43.990,5.990,5.990,3.630,0.000,53.610,Apple Pay,control,1,1,1,24.100,24.100,19.890,19.890,0.4521482155035235,Sports & Outdoors,1,true,false,,16,Mobile,Email,US,Regular
ORD-00000093,SES-000002802,USR-00019562,2025-01-28 20:06:42.698665,2025-01-28,completed,94.990,94.990,0.000,0.000,7.050,9.500,92.540,Apple Pay,treatment,1,1,1,41.910,41.910,53.080,53.080,0.558795662701337,Apparel,1,true,false,,0,Tablet,Paid Search,UK,VIP
ORD-00000094,SES-000002830,USR-00020841,2025-01-29 03:41:31.90627,2025-01-29,completed,113.490,113.490,0.000,0.000,9.360,0.000,122.850,Credit Card,control,1,1,1,52.530,52.530,60.960,60.960,0.5371398361089083,Home & Kitchen,1,true,false,,7,Mobile,Direct,US,Regular
ORD-00000095,SES-000002938,USR-00016709,2025-01-30 04:17:44.703212,2025-01-30,completed,75.990,75.990,0.000,0.000,6.270,0.000,82.260,Credit Card,treatment,1,1,1,20.120,20.120,55.870,55.870,0.7352283195157258,Beauty & Personal Care,1,true,false,,0,Mobile,Paid Search,US,Regular
ORD-00000096,SES-000002982,USR-00010142,2025-01-30 16:21:35.769226,2025-01-30,completed,244.990,244.990,0.000,0.000,18.190,24.500,238.680,PayPal,control,1,1,1,144.790,144.790,100.200,100.200,0.40899628556267603,Electronics,1,true,false,,26,Desktop,Email,US,VIP
ORD-00000097,SES-000003025,USR-00011002,2025-01-31 01:54:05.624396,2025-01-31,completed,207.990,207.990,0.000,0.000,17.160,0.000,225.150,Credit Card,control,1,1,1,120.070,120.070,87.920,87.920,0.4227126304149238,Electronics,1,true,false,,21,Desktop,Direct,FR,Regular
ORD-00000098,SES-000003037,USR-00017856,2025-01-31 03:40:25.199611,2025-01-31,completed,84.990,84.990,0.000,0.000,6.660,4.250,87.400,Credit Card,treatment,1,1,1,33.730,33.730,51.260,51.260,0.6031297799741147,Beauty & Personal Care,1,true,false,,4,Desktop,Organic Search,DE,Regular
ORD-00000099,SES-000003045,USR-00001630,2025-01-31 06:08:01.964156,2025-01-31,completed,31.990,31.990,5.990,5.990,2.640,0.000,40.620,Apple Pay,treatment,1,1,1,15.580,15.580,16.410,16.410,0.5129728040012504,Sports & Outdoors,1,true,false,,1,Desktop,Organic Search,US,Regular
ORD-00000100,SES-000003075,USR-00007141,2025-01-31 12:08:44.734492,2025-01-31,completed,143.980,143.980,0.000,0.000,10.690,14.400,140.270,Apple Pay,treatment,2,2,2,64.950,64.950,79.030,79.030,0.5488956799555494,Sports & Outdoors,1,true,false,,0,Mobile,Organic Search,US,VIP
ORD-00000101,SES-000003107,USR-00028873,2025-01-31 17:41:10.720302,2025-01-31,completed,350.490,350.490,0.000,0.000,26.020,35.050,341.460,PayPal,control,1,1,1,212.610,212.610,137.880,137.880,0.3933921081913892,Electronics,1,true,false,,29,Tablet,Direct,US,VIP
ORD-00000102,SES-000003140,USR-00003519,2025-02-01 00:20:44.023347,2025-02-01,completed,151.490,151.490,0.000,0.000,12.500,0.000,163.990,PayPal,control,1,1,1,68.210,68.210,83.280,83.280,0.5497392567166149,Sports & Outdoors,1,true,false,,8,Desktop,Email,US,Bargain
ORD-00000103,SES-000003147,USR-00016221,2025-02-01 02:12:09.480545,2025-02-01,completed,55.980,55.980,5.990,5.990,4.160,5.600,60.530,Apple Pay,treatment,2,2,1,23.020,23.020,32.960,32.960,0.588781707752769,Apparel,1,true,false,,23,Desktop,Email,US,VIP
ORD-00000104,SES-000003156,USR-00024533,2025-02-01 04:43:07.253509,2025-02-01,completed,174.980,174.980,0.000,0.000,12.990,17.500,170.470,Klarna,control,2,2,2,64.050,64.050,110.930,110.930,0.633958166647617,Beauty & Personal Care,1,true,false,,0,Desktop,Paid Search,US,VIP
ORD-00000105,SES-000003210,USR-00003841,2025-02-01 17:48:29.621827,2025-02-01,completed,135.490,135.490,0.000,0.000,10.060,13.550,132.000,Apple Pay,treatment,1,1,1,71.030,71.030,64.460,64.460,0.47575466824119855,Home & Kitchen,1,true,false,,0,Desktop,Organic Search,AU,VIP
ORD-00000106,SES-000003217,USR-00029015,2025-02-01 19:39:49.182912,2025-02-01,completed,167.980,167.980,0.000,0.000,13.860,0.000,181.840,PayPal,treatment,2,2,1,68.980,68.980,99.000,99.000,0.5893558756994881,Apparel,1,true,false,,0,Desktop,Email,UK,Regular
ORD-00000107,SES-000003252,USR-00010718,2025-02-02 03:44:41.561946,2025-02-02,completed,252.970,252.970,0.000,0.000,20.870,0.000,273.840,Credit Card,control,3,3,3,106.460,106.460,146.510,146.510,0.5791595841404119,Home & Kitchen,1,true,false,,0,Tablet,Direct,UK,Bargain
ORD-00000108,SES-000003298,USR-00021132,2025-02-02 14:00:59.899983,2025-02-02,completed,33.490,33.490,5.990,5.990,2.760,0.000,42.240,Apple Pay,treatment,1,1,1,15.830,15.830,17.660,17.660,0.5273215885338907,Home & Kitchen,1,true,false,,0,Desktop,Direct,US,Regular
ORD-00000109,SES-000003317,USR-00006038,2025-02-02 16:59:01.112316,2025-02-02,completed,84.980,84.980,0.000,0.000,7.010,0.000,91.990,Klarna,control,2,2,1,35.080,35.080,49.900,49.900,0.5871969875264768,Apparel,1,true,false,,29,Desktop,Email,US,Regular
ORD-00000110,SES-000003417,USR-00020624,2025-02-03 12:26:47.275115,2025-02-03,completed,151.490,151.490,0.000,0.000,11.250,15.150,147.590,Credit Card,treatment,1,1,1,68.210,68.210,83.280,83.280,0.5497392567166149,Sports & Outdoors,1,true,false,,2,Desktop,Email,US,VIP
ORD-00000111,SES-000003429,USR-00003392,2025-02-03 14:11:49.808361,2025-02-03,completed,100.990,100.990,0.000,0.000,8.330,0.000,109.320,Apple Pay,control,1,1,1,39.040,39.040,61.950,61.950,0.6134270719873255,Apparel,1,true,false,,28,Mobile,Referral,US,Regular
ORD-00000112,SES-000003433,USR-00014559,2025-02-03 15:29:43.17791,2025-02-03,completed,167.490,167.490,0.000,0.000,12.440,16.750,163.180,Credit Card,control,1,1,1,87.540,87.540,79.950,79.950,0.477341930861544,Sports & Outdoors,1,true,false,,16,Desktop,Email,UK,VIP
ORD-00000113,SES-000003435,USR-00013237,2025-02-03 15:39:13.927804,2025-02-03,completed,129.980,129.980,0.000,0.000,10.720,0.000,140.700,PayPal,treatment,2,2,1,50.620,50.620,79.360,79.360,0.6105554700723188,Beauty & Personal Care,1,true,false,,20,Desktop,Direct,US,Regular
ORD-00000114,SES-000003438,USR-00028695,2025-02-03 16:21:29.926935,2025-02-03,completed,423.970,423.970,0.000,0.000,31.480,42.400,413.050,Credit Card,control,3,3,3,211.590,211.590,212.380,212.380,0.5009316696936104,Sports & Outdoors,1,true,false,,23,Desktop,Email,US,VIP
ORD-00000115,SES-000003439,USR-00017893,2025-02-03 16:45:51.232695,2025-02-03,completed,162.980,162.980,0.000,0.000,12.100,16.300,158.780,Apple Pay,treatment,2,2,2,70.200,70.200,92.780,92.780,0.5692723033501044,Home & Kitchen,1,true,false,,0,Mobile,Paid Search,US,VIP
ORD-00000116,SES-000003477,USR-00026050,2025-02-03 22:27:10.503162,2025-02-03,completed,271.990,271.990,0.000,0.000,22.440,0.000,294.430,Credit Card,control,1,1,1,147.220,147.220,124.770,124.770,0.45873010037133716,Electronics,1,true,false,,0,Desktop,Organic Search,DE,Regular
ORD-00000117,SES-000003492,USR-00021934,2025-02-04 01:16:39.182335,2025-02-04,completed,55.990,55.990,5.990,5.990,4.620,0.000,66.600,Credit Card,treatment,1,1,1,23.350,23.350,32.640,32.640,0.5829612430791212,Apparel,1,true,false,,0,Desktop,Paid Search,US,Regular
ORD-00000118,SES-000003500,USR-00029549,2025-02-04 02:27:13.497451,2025-02-04,completed,394.980,394.980,0.000,0.000,29.330,39.500,384.810,PayPal,control,2,2,2,220.610,220.610,174.370,174.370,0.44146539065269125,Electronics,1,true,false,,0,Mobile,Email,DE,VIP
ORD-00000119,SES-000003511,USR-00012081,2025-02-04 04:50:59.406262,2025-02-04,completed,77.990,77.990,0.000,0.000,5.790,7.800,75.980,PayPal,treatment,1,1,1,39.190,39.190,38.800,38.800,0.4974996794460828,Sports & Outdoors,1,true,false,,0,Desktop,Direct,US,VIP
ORD-00000120,SES-000003522,USR-00006927,2025-02-04 06:30:03.911082,2025-02-04,completed,83.990,83.990,0.000,0.000,6.930,0.000,90.920,Credit Card,treatment,1,1,1,34.490,34.490,49.500,49.500,0.5893558756994881,Apparel,1,true,false,,0,Mobile,Organic Search,US,Regular
ORD-00000121,SES-000003585,USR-00009598,2025-02-04 18:08:29.783061,2025-02-04,completed,152.990,152.990,0.000,0.000,11.360,15.300,149.050,Credit Card,control,1,1,1,69.500,69.500,83.490,83.490,0.5457219426106281,Home & Kitchen,1,true,false,,9,Mobile,Direct,US,VIP
ORD-00000122,SES-000003610,USR-00007200,2025-02-04 23:29:50.446213,2025-02-04,completed,94.990,94.990,0.000,0.000,7.050,9.500,92.540,Credit Card,treatment,1,1,1,52.510,52.510,42.480,42.480,0.4472049689440994,Electronics,1,true,false,,1,Tablet,Organic Search,US,VIP
ORD-00000123,SES-000003684,USR-00028832,2025-02-05 13:58:55.67515,2025-02-05,completed,350.490,350.490,0.000,0.000,26.020,35.050,341.460,PayPal,control,1,1,1,212.610,212.610,137.880,137.880,0.3933921081913892,Electronics,1,true,false,,25,Mobile,Direct,DE,VIP
ORD-00000124,SES-000003759,USR-00026402,2025-02-06 05:26:08.137674,2025-02-06,completed,86.990,86.990,0.000,0.000,6.820,4.350,89.460,Apple Pay,treatment,1,1,1,31.300,31.300,55.690,55.690,0.6401885274169445,Beauty & Personal Care,1,true,false,,0,Mobile,Paid Search,DE,Regular
ORD-00000125,SES-000003771,USR-00022707,2025-02-06 07:34:51.582845,2025-02-06,completed,199.990,199.990,0.000,0.000,14.850,20.000,194.840,PayPal,control,1,1,1,116.570,116.570,83.420,83.420,0.41712085604280214,Sports & Outdoors,1,true,false,,27,Desktop,Organic Search,DE,VIP
ORD-00000126,SES-000003780,USR-00004057,2025-02-06 09:02:40.033844,2025-02-06,completed,205.990,205.990,0.000,0.000,15.290,20.600,200.680,Credit Card,control,1,1,1,123.350,123.350,82.640,82.640,0.4011845235205592,Electronics,1,true,false,,0,Mobile,Direct,US,VIP
ORD-00000127,SES-000003788,USR-00029333,2025-02-06 10:06:53.584092,2025-02-06,completed,415.480,415.480,0.000,0.000,30.850,41.550,404.780,Credit Card,treatment,2,2,2,236.590,236.590,178.890,178.890,0.4305622412631173,Electronics,1,true,false,,19,Desktop,Organic Search,FR,VIP
ORD-00000128,SES-000003798,USR-00022629,2025-02-06 12:21:32.953272,2025-02-06,completed,16.990,16.990,5.990,5.990,1.260,1.700,22.540,PayPal,treatment,1,1,1,6.200,6.200,10.790,10.790,0.6350794585050029,Beauty & Personal Care,1,true,false,,32,Mobile,Direct,US,VIP
ORD-00000129,SES-000003843,USR-00018371,2025-02-06 20:50:29.725791,2025-02-06,completed,137.990,137.990,0.000,0.000,11.380,0.000,149.370,Credit Card,treatment,1,1,1,68.350,68.350,69.640,69.640,0.5046742517573737,Home & Kitchen,1,true,false,,0,Mobile,Direct,US,Regular
ORD-00000130,SES-000003908,USR-00015659,2025-02-07 12:32:24.062337,2025-02-07,completed,156.470,156.470,0.000,0.000,12.910,0.000,169.380,Apple Pay,control,3,3,3,69.230,69.230,87.240,87.240,0.5575509682367227,Sports & Outdoors,1,true,false,,1,Desktop,Direct,DE,Regular
ORD-00000131,SES-000003959,USR-00016337,2025-02-07 22:24:17.834473,2025-02-07,completed,665.450,665.450,0.000,0.000,49.410,66.540,648.320,Apple Pay,treatment,5,5,3,311.910,311.910,353.540,353.540,0.5312795852430686,Sports & Outdoors,1,true,false,,25,Mobile,Direct,US,VIP
ORD-00000132,SES-000004003,USR-00014967,2025-02-08 05:10:25.475094,2025-02-08,completed,84.990,84.990,0.000,0.000,7.010,0.000,92.000,Apple Pay,treatment,1,1,1,33.730,33.730,51.260,51.260,0.6031297799741147,Beauty & Personal Care,1,true,false,,0,Desktop,Organic Search,CA,Regular
ORD-00000133,SES-000004041,USR-00003016,2025-02-08 12:22:42.58075,2025-02-08,completed,87.990,87.990,0.000,0.000,7.260,0.000,95.250,Klarna,treatment,1,1,1,32.750,32.750,55.240,55.240,0.6277986134788045,Beauty & Personal Care,1,true,false,,3,Mobile,Organic Search,US,Regular
ORD-00000134,SES-000004056,USR-00009101,2025-02-08 15:18:44.193135,2025-02-08,completed,215.980,215.980,0.000,0.000,17.820,0.000,233.800,Klarna,treatment,2,2,2,108.220,108.220,107.760,107.760,0.49893508658209096,Home & Kitchen,1,true,false,,0,Mobile,Organic Search,US,Bargain
ORD-00000135,SES-000004064,USR-00005416,2025-02-08 17:26:20.146798,2025-02-08,completed,105.990,105.990,0.000,0.000,8.740,0.000,114.730,Credit Card,control,1,1,1,56.370,56.370,49.620,49.620,0.4681573733371073,Sports & Outdoors,1,true,false,,16,Mobile,Direct,US,Regular
ORD-00000136,SES-000004084,USR-00003071,2025-02-08 23:37:05.306039,2025-02-08,completed,126.980,126.980,0.000,0.000,10.480,0.000,137.460,Apple Pay,treatment,2,2,2,66.710,66.710,60.270,60.270,0.47464167585446526,Electronics,1,true,false,,5,Mobile,Email,US,Regular
ORD-00000137,SES-000004085,USR-00020565,2025-02-08 23:42:18.315298,2025-02-08,completed,205.470,205.470,0.000,0.000,16.950,0.000,222.420,Credit Card,control,3,3,1,82.500,82.500,122.970,122.970,0.598481530150387,Beauty & Personal Care,1,true,false,,36,Desktop,Direct,UK,Regular
ORD-00000138,SES-000004096,USR-00025036,2025-02-09 02:04:43.98372,2025-02-09,completed,80.980,80.980,0.000,0.000,6.010,8.100,78.890,Apple Pay,treatment,2,2,2,29.190,29.190,51.790,51.790,0.6395406273153865,Beauty & Personal Care,1,true,false,,25,Desktop,Direct,DE,VIP
ORD-00000139,SES-000004105,USR-00015407,2025-02-09 03:04:06.525185,2025-02-09,completed,529.960,529.960,0.000,0.000,43.720,0.000,573.680,PayPal,treatment,4,4,3,247.920,247.920,282.040,282.040,0.5321911087629255,Electronics,1,true,false,,28,Desktop,Organic Search,UK,Regular
ORD-00000140,SES-000004112,USR-00017325,2025-02-09 07:00:54.258268,2025-02-09,completed,201.980,201.980,0.000,0.000,15.830,10.100,207.710,Credit Card,control,2,2,1,84.540,84.540,117.440,117.440,0.5814437072977523,Home & Kitchen,1,true,false,,30,Desktop,Email,DE,Regular
ORD-00000141,SES-000004125,USR-00029130,2025-02-09 10:13:42.40982,2025-02-09,completed,522.970,522.970,0.000,0.000,43.150,0.000,566.120,Credit Card,control,3,3,3,254.890,254.890,268.080,268.080,0.512610666003786,Sports & Outdoors,1,true,false,,13,Mobile,Email,US,Regular
ORD-00000142,SES-000004141,USR-00015538,2025-02-09 13:50:43.612905,2025-02-09,completed,227.990,227.990,0.000,0.000,18.810,0.000,246.800,Klarna,treatment,1,1,1,111.710,111.710,116.280,116.280,0.5100223694021667,Sports & Outdoors,1,true,false,,34,Desktop,Direct,US,Regular
ORD-00000143,SES-000004175,USR-00013180,2025-02-09 18:33:45.513081,2025-02-09,completed,107.490,107.490,0.000,0.000,7.980,10.750,104.720,Apple Pay,control,1,1,1,45.050,45.050,62.440,62.440,0.5808912456972741,Apparel,1,true,false,,1,Desktop,Email,US,VIP
ORD-00000144,SES-000004207,USR-00005285,2025-02-10 01:44:26.056579,2025-02-10,completed,221.980,221.980,0.000,0.000,16.480,22.200,216.260,Apple Pay,control,2,2,2,106.800,106.800,115.180,115.180,0.51887557437607,Sports & Outdoors,1,true,false,,9,Desktop,Direct,CA,VIP
ORD-00000145,SES-000004231,USR-00029188,2025-02-10 07:51:32.250608,2025-02-10,completed,289.970,289.970,0.000,0.000,23.920,0.000,313.890,Klarna,treatment,3,3,2,117.290,117.290,172.680,172.680,0.5955098803324481,Home & Kitchen,1,true,false,,17,Desktop,Direct,US,Bargain
ORD-00000146,SES-000004238,USR-00008353,2025-02-10 08:55:56.259336,2025-02-10,completed,341.980,341.980,0.000,0.000,28.210,0.000,370.190,Credit Card,treatment,2,2,2,180.560,180.560,161.420,161.420,0.47201590736300364,Sports & Outdoors,1,true,false,,12,Desktop,Email,AU,Regular
ORD-00000147,SES-000004254,USR-00028569,2025-02-10 12:20:24.029992,2025-02-10,completed,376.470,376.470,0.000,0.000,27.950,37.650,366.770,Credit Card,control,3,3,3,220.660,220.660,155.810,155.810,0.4138709591733737,Electronics,1,true,false,,27,Mobile,Email,UK,VIP
ORD-00000148,SES-000004256,USR-00024489,2025-02-10 12:42:51.619146,2025-02-10,completed,275.480,275.480,0.000,0.000,22.730,0.000,298.210,Credit Card,treatment,2,2,2,133.210,133.210,142.270,142.270,0.5164440249745899,Sports & Outdoors,1,true,false,,0,Mobile,Direct,US,Regular
ORD-00000149,SES-000004300,USR-00014275,2025-02-10 20:04:27.423619,2025-02-10,completed,511.970,511.970,0.000,0.000,38.010,51.200,498.780,Credit Card,treatment,3,3,3,243.050,243.050,268.920,268.920,0.5252651522550149,Electronics,1,true,false,,16,Mobile,Referral,UK,VIP
ORD-00000150,SES-000004314,USR-00024851,2025-02-10 22:05:52.762771,2025-02-10,completed,24.990,24.990,5.990,5.990,2.060,0.000,33.040,Apple Pay,treatment,1,1,1,6.910,6.910,18.080,18.080,0.7234893957583033,Beauty & Personal Care,1,true,false,,40,Desktop,Paid Search,DE,Regular
