user_id,first_seen_at,signup_timestamp,signup_date,cohort_month,signup_cohort_month,country,device_preference,customer_segment,acquisition_channel,first_order_timestamp,first_order_date,most_recent_order_timestamp,last_order_date,most_recent_order_date,lifetime_sessions,lifetime_orders,lifetime_revenue,lifetime_gross_profit,avg_order_value,avg_days_between_orders,recency_days,frequency_band,monetary_tier,customer_lifecycle_status
USR-00027476,2025-02-25 08:35:02,2025-02-25 08:35:02,2025-02-25,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Mobile,VIP,Direct,2025-04-26 15:58:44.167411,2025-04-26,2025-09-17 01:21:04.35184,2025-09-17,2025-09-17,9,2,610.820,299.440,305.41,144.0,355,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00000465,2025-02-26 20:36:49,2025-02-26 20:36:49,2025-02-26,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,Regular,Paid Search,2025-02-26 20:57:39.74124,2025-02-26,2025-02-26 20:57:39.74124,2025-02-26,2025-02-26,2,1,165.610,83.490,165.61,0.0,558,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00009837,2025-02-26 22:45:45,2025-02-26 22:45:45,2025-02-26,2025-02-01 00:00:00,2025-02-01 00:00:00,FR,Desktop,Regular,Direct,2025-11-15 16:50:17.246909,2025-11-15,2025-11-15 16:50:17.246909,2025-11-15,2025-11-15,8,1,225.150,87.920,225.15,0.0,296,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00016511,2025-02-27 00:42:22,2025-02-27 00:42:22,2025-02-27,2025-02-01 00:00:00,2025-02-01 00:00:00,UK,Desktop,Regular,Paid Search,2025-06-13 09:23:33.495214,2025-06-13,2025-06-13 09:23:33.495214,2025-06-13,2025-06-13,3,1,66.600,32.640,66.6,0.0,451,1 Order,Tier 1: Low Value,Single Purchaser
USR-00007897,2025-02-27 12:47:07,2025-02-27 12:47:07,2025-02-27,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,VIP,Organic Search,2025-05-03 00:19:41.297273,2025-05-03,2025-05-03 00:19:41.297273,2025-05-03,2025-05-03,3,1,276.670,142.790,276.67,0.0,492,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00009085,2025-02-27 14:54:34,2025-02-27 14:54:34,2025-02-27,2025-02-01 00:00:00,2025-02-01 00:00:00,DE,Tablet,Regular,Email,2025-12-07 10:58:45.029472,2025-12-07,2025-12-07 10:58:45.029472,2025-12-07,2025-12-07,4,1,132.050,69.810,132.05,0.0,274,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00016620,2025-02-28 09:21:05,2025-02-28 09:21:05,2025-02-28,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Paid Search,2025-08-29 18:36:44.96458,2025-08-29,2025-08-29 18:36:44.96458,2025-08-29,2025-08-29,5,1,152.180,87.940,152.18,0.0,374,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00018477,2025-02-28 12:56:57,2025-02-28 12:56:57,2025-02-28,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Mobile,Regular,Paid Search,2025-04-12 05:38:25.829438,2025-04-12,2025-04-12 05:38:25.829438,2025-04-12,2025-04-12,3,1,42.240,17.660,42.24,0.0,513,1 Order,Tier 1: Low Value,Single Purchaser
USR-00021587,2025-02-28 15:22:05,2025-02-28 15:22:05,2025-02-28,2025-02-01 00:00:00,2025-02-01 00:00:00,US,Desktop,Regular,Direct,2025-03-12 18:34:22.832915,2025-03-12,2025-04-18 05:11:50.597132,2025-04-18,2025-04-18,6,2,742.570,303.950,371.285,37.0,507,2-3 Orders,Tier 3: High Value,Churned Repeat
USR-00010585,2025-03-02 13:14:16,2025-03-02 13:14:16,2025-03-02,2025-03-01 00:00:00,2025-03-01 00:00:00,UK,Mobile,VIP,Paid Search,2025-09-11 23:02:06.682431,2025-09-11,2025-09-11 23:02:06.682431,2025-09-11,2025-09-11,11,1,175.350,77.680,175.35,0.0,361,1 Order,Tier 2: Mid Value,Single Purchaser
USR-00004192,2025-03-02 14:49:26,2025-03-02 14:49:26,2025-03-02,2025-03-01 00:00:00,2025-03-01 00:00:00,US,Mobile,Regular,Paid Search,2025-10-28 04:02:52.925069,2025-10-28,2025-10-28 04:02:52.925069,2025-10-28,2025-10-28,5,1,431.900,172.800,431.9,0.0,314,1 Order,Tier 3: High Value,Single Purchaser
USR-00006543,2025-03-02 18:52:36,2025-03-02 18:52:36,2025-03-02,2025-03-01 00:00:00,2025-03-01 00:00:00,US,Tablet,VIP,Social,2025-12-30 23:55:44.003854,2025-12-30,2025-12-30 23:55:44.003854,2025-12-30,2025-12-30,6,1,169.510,80.950,169.51,0.0,251,1 Order,Tier 2: Mid Value,Single Purchaser
